model,query_id,split,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,p_correct,auto_accept,expected_rank,top1_correct,hit@1,hit@5,hit@10,mrr@10,ndcg@10,map@10,recall@10,s1,s2,gap12,gap1_5,mean90,std90,z1,z_gap,entropy_top10,top10_materials,top10_scores
google/embeddinggemma-300m,0,test,IfcReinforcingBar,Armierungsstahl,Armierungsstahl,1,Tiefbaubeton,0.536752,0.536752,False,14,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536752,0.516281,0.020470,0.043206,0.407348,0.050328,2.571187,0.406734,2.302452,Tiefbaubeton | Furniersperrholz | Baugrubensicherung Nagelwand | Brettschichtholz | Gusseisen | Bohrpfahlbeton | Hartfaserplatte | Brettsperrholz | Balkenschichtholz | Baugrubensicherung Spundwand auskragend,0.536752 | 0.516281 | 0.499925 | 0.494724 | 0.493546 | 0.490685 | 0.489878 | 0.487189 | 0.484618 | 0.479273
google/embeddinggemma-300m,1,test,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.480430,0.480430,False,28,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480430,0.463321,0.017109,0.054117,0.356115,0.042056,2.955916,0.406804,2.302342,Baugrubensicherung Schlitzwand 800 | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400 | Gusseisen | Tiefbaubeton | Balkenschichtholz | Hartfaserplatte | Brettschichtholz | Betonfertigteil hochfest | Blei,0.480430 | 0.463321 | 0.439834 | 0.432892 | 0.426313 | 0.424046 | 0.419677 | 0.413784 | 0.412436 | 0.411177
google/embeddinggemma-300m,2,test,IfcReinforcingBar Längsstab B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.472573,0.472573,False,30,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.472573,0.441576,0.030997,0.046200,0.358008,0.040607,2.821326,0.763340,2.302360,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Rühlwand auskragend | Tiefgründung Rüttelstopfsäule | Stahlblech verzinkt | Tiefbaubeton | Tiefgründung Ortbetonbohrpfahl 700,0.472573 | 0.441576 | 0.429412 | 0.426726 | 0.426373 | 0.409371 | 0.406282 | 0.404456 | 0.403774 | 0.403152
google/embeddinggemma-300m,3,test,IfcReinforcingBar SHEAR Bügel B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.497330,0.497330,False,27,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.497330,0.467136,0.030194,0.077512,0.358996,0.038835,3.562139,0.777509,2.302110,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Hartfaserplatte | Bohrpfahlbeton | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend | Stahlblech verzinkt | Brettschichtholz | Dichtungsbahn Gummi EPDM | Balkenschichtholz,0.497330 | 0.467136 | 0.429823 | 0.422172 | 0.419818 | 0.412069 | 0.405440 | 0.403026 | 0.401153 | 0.400681
google/embeddinggemma-300m,4,test,IfcReinforcingBar MAIN 1. Lage B500B,Armierungsstahl,Armierungsstahl,1,Bohrpfahlbeton,0.409740,0.409740,False,37,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.409740,0.404068,0.005672,0.024180,0.312314,0.043370,2.246387,0.130775,2.302525,Bohrpfahlbeton | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend | Betonfertigteil hochfest | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefbaubeton | Tiefgründung Ortbetonbohrpfahl 700 | Magerbeton,0.409740 | 0.404068 | 0.396390 | 0.390821 | 0.385560 | 0.385413 | 0.381011 | 0.378980 | 0.376957 | 0.376565
google/embeddinggemma-300m,5,test,IfcReinforcingBar unterer Stab B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.499316,0.499316,False,34,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.499316,0.494051,0.005264,0.038386,0.366553,0.051483,2.578773,0.102250,2.302299,Baugrubensicherung Schlitzwand 800 | Tiefbaubeton | Bohrpfahlbeton | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 400 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 700 | Baugrubensicherung Nagelwand | Tiefgründung Ortbetonverdrängungspfahl 560/480,0.499316 | 0.494051 | 0.488356 | 0.466119 | 0.460930 | 0.452991 | 0.440062 | 0.438159 | 0.437000 | 0.433732
google/embeddinggemma-300m,6,test,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Spundwand auskragend,0.429442,0.429442,False,43,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.429442,0.428905,0.000537,0.033251,0.332766,0.038709,2.497496,0.013862,2.302435,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Baugrubensicherung Spundwand verankert | Baugrubensicherung Nagelwand | Tiefbaubeton | Tiefgründung Ortbetonbohrpfahl 700,0.429442 | 0.428905 | 0.409195 | 0.400777 | 0.396191 | 0.388861 | 0.385976 | 0.384448 | 0.383287 | 0.381355
google/embeddinggemma-300m,7,test,IfcReinforcingBar MAIN 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Spundwand auskragend,0.403758,0.403758,False,62,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.403758,0.399337,0.004421,0.018362,0.322844,0.038773,2.086884,0.114017,2.302544,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Bohrpfahlbeton | Baugrubensicherung Rühlwand auskragend | Betonfertigteil hochfest | Baugrubensicherung Nagelwand | Tiefbaubeton | Furniersperrholz | Tiefgründung Ortbetonbohrpfahl 700 | Baugrubensicherung Schlitzwand 400,0.403758 | 0.399337 | 0.395650 | 0.392160 | 0.385396 | 0.382149 | 0.380979 | 0.379515 | 0.378732 | 0.377043
google/embeddinggemma-300m,8,test,IfcReinforcingBar Wendel unten B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.460134,0.460134,False,34,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.460134,0.433953,0.026181,0.047027,0.330439,0.046460,2.791524,0.563511,2.302380,Baugrubensicherung Schlitzwand 800 | Tiefbaubeton | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Baugrubensicherung Spundwand auskragend | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Tiefgründung Rüttelstopfsäule | Baugrubensicherung Nagelwand | Tiefgründung Ortbetonbohrpfahl 900,0.460134 | 0.433953 | 0.427194 | 0.422825 | 0.413107 | 0.408779 | 0.402391 | 0.401125 | 0.395730 | 0.388931
google/embeddinggemma-300m,9,test,IfcReinforcingBar Wendel mitte B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.469865,0.469865,False,32,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469865,0.446893,0.022972,0.060113,0.341046,0.044773,2.877176,0.513088,2.302334,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Tiefbaubeton | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Nagelwand | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Hartfaserplatte | Betonfertigteil hochfest,0.469865 | 0.446893 | 0.427188 | 0.424670 | 0.409752 | 0.408877 | 0.407665 | 0.405957 | 0.397288 | 0.396195
