model,query,expected_material_input,expected_material_resolved,predicted_top1,predicted_top1_score,expected_rank,expected_score,top1_correct,top5_correct,topk_materials,topk_scores
google/embeddinggemma-300m,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.480430,28,0.376121,False,False,Baugrubensicherung Schlitzwand 800 | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400 | Gusseisen | Tiefbaubeton,0.480430 | 0.463321 | 0.439834 | 0.432892 | 0.426313
google/embeddinggemma-300m,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.480430,28,0.376121,False,False,Baugrubensicherung Schlitzwand 800 | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400 | Gusseisen | Tiefbaubeton,0.480430 | 0.463321 | 0.439834 | 0.432892 | 0.426313
google/embeddinggemma-300m,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.480430,28,0.376121,False,False,Baugrubensicherung Schlitzwand 800 | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400 | Gusseisen | Tiefbaubeton,0.480430 | 0.463321 | 0.439834 | 0.432892 | 0.426313
google/embeddinggemma-300m,IfcReinforcingBar Längsstab B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.472573,30,0.380948,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend,0.472573 | 0.441577 | 0.429412 | 0.426726 | 0.426373
google/embeddinggemma-300m,IfcReinforcingBar Längsstab B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.472573,30,0.380948,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend,0.472573 | 0.441577 | 0.429412 | 0.426726 | 0.426373
google/embeddinggemma-300m,IfcReinforcingBar Längsstab B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.472573,30,0.380948,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend,0.472573 | 0.441577 | 0.429412 | 0.426726 | 0.426373
google/embeddinggemma-300m,IfcReinforcingBar Längsstab B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.472573,30,0.380948,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend,0.472573 | 0.441577 | 0.429412 | 0.426726 | 0.426373
google/embeddinggemma-300m,IfcBeam GIRDER_SEGMENT Randbord Beton NPK G Test-Kommentar Ortbeton,Tiefbaubeton,Tiefbaubeton,Betonfertigteil normalfest,0.566456,7,0.493637,False,False,Betonfertigteil normalfest | Betonfertigteil hochfest | Bohrpfahlbeton | Magerbeton | Baugrubensicherung Spundwand auskragend,0.566456 | 0.559705 | 0.559076 | 0.554315 | 0.512066
google/embeddinggemma-300m,IfcReinforcingBar SHEAR Bügel B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.497330,27,0.380847,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Hartfaserplatte | Bohrpfahlbeton | Baugrubensicherung Nagelwand,0.497330 | 0.467136 | 0.429823 | 0.422172 | 0.419818
google/embeddinggemma-300m,IfcReinforcingBar MAIN 1. Lage B500B,Armierungsstahl,Armierungsstahl,Bohrpfahlbeton,0.409740,37,0.320211,False,False,Bohrpfahlbeton | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend,0.409740 | 0.404068 | 0.396390 | 0.390821 | 0.385560
google/embeddinggemma-300m,IfcReinforcingBar unterer Stab B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.499315,34,0.384343,False,False,Baugrubensicherung Schlitzwand 800 | Tiefbaubeton | Bohrpfahlbeton | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 400,0.499315 | 0.494051 | 0.488356 | 0.466119 | 0.460930
google/embeddinggemma-300m,IfcBeam EDGEBEAM Randbord Beton NPK G Randträger bewehrt Ortbeton,Tiefbaubeton,Tiefbaubeton,Betonfertigteil normalfest,0.565611,5,0.508291,False,True,Betonfertigteil normalfest | Bohrpfahlbeton | Magerbeton | Betonfertigteil hochfest | Tiefbaubeton,0.565611 | 0.557555 | 0.556413 | 0.553086 | 0.508291
