model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
google/embeddinggemma-300m,baseline,-,0,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.575575,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Hartbeton einschichtig | Bohrpfahlbeton | Magerbeton | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonziegel | Betonfertigteil hochfest | Hartbeton zweischichtig | Gusseisen,0.575575 | 0.574033 | 0.572850 | 0.570458 | 0.561743 | 0.560380 | 0.556974 | 0.533278 | 0.522720 | 0.488618
google/embeddinggemma-300m,baseline,-,1,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.575575,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Hartbeton einschichtig | Bohrpfahlbeton | Magerbeton | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonziegel | Betonfertigteil hochfest | Hartbeton zweischichtig | Gusseisen,0.575575 | 0.574033 | 0.572850 | 0.570458 | 0.561743 | 0.560380 | 0.556974 | 0.533278 | 0.522720 | 0.488618
google/embeddinggemma-300m,baseline,-,2,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.575575,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Hartbeton einschichtig | Bohrpfahlbeton | Magerbeton | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonziegel | Betonfertigteil hochfest | Hartbeton zweischichtig | Gusseisen,0.575575 | 0.574033 | 0.572850 | 0.570458 | 0.561743 | 0.560380 | 0.556974 | 0.533278 | 0.522720 | 0.488618
google/embeddinggemma-300m,baseline,-,3,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.593519,7,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Bohrpfahlbeton | Betonziegel | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.593519 | 0.590922 | 0.585573 | 0.581801 | 0.572099 | 0.571764 | 0.561030 | 0.536486 | 0.536252 | 0.492650
google/embeddinggemma-300m,baseline,-,4,IfcBeam Beton C30/37,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Bohrpfahlbeton,0.593519,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Bohrpfahlbeton | Betonziegel | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.593519 | 0.590922 | 0.585573 | 0.581801 | 0.572099 | 0.571764 | 0.561030 | 0.536486 | 0.536252 | 0.492650
google/embeddinggemma-300m,baseline,-,5,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.593519,7,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Bohrpfahlbeton | Betonziegel | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.593519 | 0.590922 | 0.585573 | 0.581801 | 0.572099 | 0.571764 | 0.561030 | 0.536486 | 0.536252 | 0.492650
google/embeddinggemma-300m,baseline,-,6,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.593519,7,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Bohrpfahlbeton | Betonziegel | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.593519 | 0.590922 | 0.585573 | 0.581801 | 0.572099 | 0.571764 | 0.561030 | 0.536486 | 0.536252 | 0.492650
google/embeddinggemma-300m,baseline,-,7,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.593519,7,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Bohrpfahlbeton | Betonziegel | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.593519 | 0.590922 | 0.585573 | 0.581801 | 0.572099 | 0.571764 | 0.561030 | 0.536486 | 0.536252 | 0.492650
google/embeddinggemma-300m,baseline,-,8,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.593519,7,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Bohrpfahlbeton | Betonziegel | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.593519 | 0.590922 | 0.585573 | 0.581801 | 0.572099 | 0.571764 | 0.561030 | 0.536486 | 0.536252 | 0.492650
google/embeddinggemma-300m,baseline,-,9,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.593519,7,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Bohrpfahlbeton | Betonziegel | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.593519 | 0.590922 | 0.585573 | 0.581801 | 0.572099 | 0.571764 | 0.561030 | 0.536486 | 0.536252 | 0.492650
