model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
google/embeddinggemma-300m,baseline,-,0,Beton NPK G IfcBeam,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.674429,5,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Betonziegel | Bohrpfahlbeton | Hartbeton einschichtig | Magerbeton | Tiefbaubeton | Glasfaserbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Bitumenemulsion,0.674429 | 0.667624 | 0.667418 | 0.657763 | 0.654927 | 0.654591 | 0.649574 | 0.637236 | 0.604120 | 0.560575
google/embeddinggemma-300m,baseline,-,1,Beton NPK G IfcBeam,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.674429,5,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Betonziegel | Bohrpfahlbeton | Hartbeton einschichtig | Magerbeton | Tiefbaubeton | Glasfaserbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Bitumenemulsion,0.674429 | 0.667624 | 0.667418 | 0.657763 | 0.654927 | 0.654591 | 0.649574 | 0.637236 | 0.604120 | 0.560575
google/embeddinggemma-300m,baseline,-,2,Beton NPK G IfcBeam,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.674429,5,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Betonziegel | Bohrpfahlbeton | Hartbeton einschichtig | Magerbeton | Tiefbaubeton | Glasfaserbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Bitumenemulsion,0.674429 | 0.667624 | 0.667418 | 0.657763 | 0.654927 | 0.654591 | 0.649574 | 0.637236 | 0.604120 | 0.560575
google/embeddinggemma-300m,baseline,-,3,Beton IfcBeam,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.732821,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Betonziegel | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.732821 | 0.718467 | 0.707004 | 0.704379 | 0.703262 | 0.691984 | 0.678860 | 0.673671 | 0.645101 | 0.585106
google/embeddinggemma-300m,baseline,-,4,Beton IfcBeam,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Betonziegel,0.732821,7,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Betonziegel | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.732821 | 0.718467 | 0.707004 | 0.704379 | 0.703262 | 0.691984 | 0.678860 | 0.673671 | 0.645101 | 0.585106
google/embeddinggemma-300m,baseline,-,5,Beton IfcBeam,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.732821,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Betonziegel | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.732821 | 0.718467 | 0.707004 | 0.704379 | 0.703262 | 0.691984 | 0.678860 | 0.673671 | 0.645101 | 0.585106
google/embeddinggemma-300m,baseline,-,6,Beton IfcBeam,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.732821,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Betonziegel | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.732821 | 0.718467 | 0.707004 | 0.704379 | 0.703262 | 0.691984 | 0.678860 | 0.673671 | 0.645101 | 0.585106
google/embeddinggemma-300m,baseline,-,7,Beton IfcBeam,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.732821,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Betonziegel | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.732821 | 0.718467 | 0.707004 | 0.704379 | 0.703262 | 0.691984 | 0.678860 | 0.673671 | 0.645101 | 0.585105
google/embeddinggemma-300m,baseline,-,8,Beton IfcBeam,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.732821,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Betonziegel | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.732821 | 0.718467 | 0.707004 | 0.704379 | 0.703262 | 0.691984 | 0.678860 | 0.673671 | 0.645101 | 0.585105
google/embeddinggemma-300m,baseline,-,9,Beton IfcBeam,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.732821,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Betonziegel | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.732821 | 0.718467 | 0.707004 | 0.704379 | 0.703262 | 0.691984 | 0.678860 | 0.673671 | 0.645101 | 0.585106
