model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@5,hit@10,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
kforth/IfcMaterial2MP,reranked,BAAI/bge-reranker-v2-m3,6,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.579794,0.333333,1.000000,0.333333,1.000000,0.333333,1.000000,0.333333,1.000000
google-bert/bert-base-multilingual-cased,reranked,BAAI/bge-reranker-v2-m3,6,0.333333,0.666667,0.833333,0.518519,0.518519,0.593815,0.833333,0.584927,0.000000,0.666667,0.500000,1.000000,0.203704,0.833333,0.287741,0.876977
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,BAAI/bge-reranker-v2-m3,6,0.333333,0.666667,0.666667,0.500000,0.500000,0.543643,0.666667,0.582715,0.000000,0.666667,0.333333,1.000000,0.166667,0.833333,0.210310,0.876977
google-bert/bert-base-multilingual-uncased,reranked,BAAI/bge-reranker-v2-m3,6,0.333333,0.500000,0.500000,0.416667,0.416667,0.438488,0.500000,0.594961,0.000000,0.666667,0.166667,0.833333,0.083333,0.750000,0.105155,0.794734
intfloat/multilingual-e5-large,baseline,-,6,0.333333,0.500000,0.666667,0.409722,0.409722,0.469244,0.666667,0.875151,0.000000,0.666667,0.333333,1.000000,0.076389,0.777778,0.135911,0.833333
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,BAAI/bge-reranker-v2-m3,6,0.166667,0.666667,0.833333,0.433333,0.433333,0.530309,0.833333,0.598317,0.000000,0.500000,0.500000,1.000000,0.183333,0.750000,0.258487,0.794734
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,6,0.166667,0.666667,0.666667,0.361111,0.361111,0.438488,0.666667,0.604760,0.000000,0.500000,0.333333,1.000000,0.111111,0.681250,0.166667,0.750000
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,6,0.166667,0.666667,0.666667,0.361111,0.361111,0.438488,0.666667,0.604760,0.000000,0.500000,0.333333,1.000000,0.111111,0.681250,0.166667,0.750000
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,6,0.166667,0.666667,0.666667,0.361111,0.361111,0.438488,0.666667,0.600566,0.000000,0.500000,0.333333,1.000000,0.111111,0.681250,0.166667,0.750000
sentence-transformers/distiluse-base-multilingual-cased-v2,reranked,BAAI/bge-reranker-v2-m3,6,0.166667,0.666667,0.666667,0.361111,0.361111,0.438488,0.666667,0.602094,0.000000,0.500000,0.333333,1.000000,0.111111,0.681250,0.166667,0.750000
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,6,0.166667,0.500000,0.666667,0.350000,0.350000,0.425154,0.666667,0.598354,0.000000,0.500000,0.333333,1.000000,0.091250,0.675417,0.153332,0.756334
BAAI/bge-m3,baseline,-,6,0.166667,0.666667,0.666667,0.347222,0.347222,0.426934,0.666667,0.645553,0.000000,0.500000,0.333333,1.000000,0.097222,0.660069,0.155113,0.743837
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,6,0.166667,0.666667,0.666667,0.347222,0.347222,0.426934,0.666667,0.700044,0.000000,0.500000,0.333333,1.000000,0.097222,0.660069,0.155113,0.743837
sentence-transformers/LaBSE,reranked,BAAI/bge-reranker-v2-m3,6,0.166667,0.500000,0.500000,0.333333,0.333333,0.376977,0.500000,0.602548,0.000000,0.500000,0.166667,0.833333,0.083333,0.666667,0.105155,0.710310
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,6,0.166667,0.333333,0.500000,0.273810,0.273810,0.327377,0.500000,0.742427,0.000000,0.500000,0.166667,0.833333,0.023810,0.607143,0.055556,0.663837
intfloat/multilingual-e5-base,baseline,-,6,0.166667,0.333333,0.500000,0.266667,0.266667,0.319999,0.500000,0.882690,0.000000,0.500000,0.166667,0.833333,0.016667,0.600000,0.048177,0.653332
kforth/IfcMaterial2MP,baseline,-,6,0.166667,0.500000,0.500000,0.263889,0.263889,0.321779,0.500000,0.690595,0.000000,0.500000,0.166667,0.833333,0.041667,0.597222,0.071779,0.655113
google/embeddinggemma-300m,baseline,-,6,0.166667,0.333333,0.666667,0.255556,0.255556,0.349878,0.666667,0.721421,0.000000,0.500000,0.333333,1.000000,0.055556,0.586250,0.118736,0.680785
google-bert/bert-base-german-cased,baseline,-,6,0.166667,0.333333,0.333333,0.250000,0.250000,0.271822,0.333333,0.863553,0.000000,0.500000,0.000000,0.666667,0.000000,0.583333,0.000000,0.605155
google-bert/bert-base-german-cased,reranked,BAAI/bge-reranker-v2-m3,6,0.166667,0.333333,0.333333,0.250000,0.250000,0.271822,0.333333,0.562212,0.000000,0.500000,0.000000,0.666667,0.000000,0.583333,0.000000,0.605155
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,-,6,0.166667,0.333333,0.500000,0.223810,0.223810,0.286698,0.500000,0.787751,0.000000,0.500000,0.166667,0.833333,0.023810,0.552619,0.055556,0.615794
google-bert/bert-base-multilingual-cased,baseline,-,6,0.166667,0.333333,0.333333,0.222222,0.222222,0.250000,0.333333,0.707160,0.000000,0.500000,0.000000,0.833333,0.000000,0.555556,0.000000,0.583333
kforth/IfcElement2ConstructionSets,reranked,BAAI/bge-reranker-v2-m3,6,0.166667,0.166667,0.333333,0.194444,0.194444,0.226035,0.333333,0.596860,0.000000,0.500000,0.000000,0.666667,0.000000,0.527778,0.000000,0.559368
kforth/IfcElement2ConstructionSets,baseline,-,6,0.166667,0.166667,0.333333,0.190476,0.190476,0.222222,0.333333,0.989946,0.000000,0.500000,0.000000,0.666667,0.000000,0.523810,0.000000,0.555556
google-bert/bert-base-multilingual-uncased,baseline,-,6,0.166667,0.166667,0.333333,0.190476,0.190476,0.222222,0.333333,0.816451,0.000000,0.500000,0.000000,0.666667,0.000000,0.523810,0.000000,0.555556
sentence-transformers/LaBSE,baseline,-,6,0.166667,0.166667,0.333333,0.185185,0.185185,0.216838,0.333333,0.648706,0.000000,0.500000,0.000000,0.666667,0.000000,0.518519,0.000000,0.550172
