model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.322581,0.731183,0.820789,0.881720,0.931900,0.449603,0.387213,0.465379,0.622743,0.552469,0.272401,0.379928,0.675538,0.784946,0.407490,0.496248,0.422136,0.514478
google/embeddinggemma-300m,baseline,-,279,0.315412,0.853047,0.881720,0.903226,0.978495,0.468955,0.399886,0.518445,0.780150,0.594954,0.261649,0.374642,0.810036,0.896057,0.428374,0.516737,0.478920,0.561577
intfloat/multilingual-e5-large,baseline,-,279,0.286738,0.706093,0.813620,0.856631,0.906810,0.411140,0.360902,0.443037,0.619312,0.852172,0.236559,0.344086,0.654032,0.763441,0.365225,0.468477,0.402407,0.496190
sentence-transformers/LaBSE,baseline,-,279,0.283154,0.602151,0.713262,0.745520,0.795699,0.395535,0.344116,0.406460,0.511854,0.504443,0.232975,0.336918,0.537634,0.666667,0.345551,0.452810,0.359122,0.456726
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.261649,0.584229,0.724014,0.820789,0.924731,0.366368,0.284238,0.364217,0.502970,0.581766,0.218638,0.315412,0.525000,0.637993,0.319013,0.415772,0.320196,0.408880
intfloat/multilingual-e5-base,baseline,-,279,0.261649,0.605735,0.756272,0.827957,0.885305,0.358093,0.307138,0.369894,0.498677,0.860445,0.216756,0.318996,0.550090,0.670251,0.314352,0.411223,0.325232,0.418999
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,279,0.250896,0.709677,0.784946,0.827957,0.885305,0.391810,0.266998,0.369329,0.542021,0.546593,0.200717,0.301075,0.661201,0.765323,0.349432,0.439017,0.336627,0.407967
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.215054,0.695341,0.741935,0.763441,0.824373,0.355598,0.254725,0.356295,0.549437,0.542536,0.168459,0.261649,0.648746,0.745520,0.315786,0.400306,0.323805,0.393254
sentence-transformers/distiluse-base-multilingual-cased-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.193548,0.720430,0.792115,0.820789,0.924731,0.379776,0.275950,0.378898,0.553704,0.543438,0.146953,0.238441,0.670251,0.770609,0.337822,0.420621,0.347953,0.415212
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,279,0.193548,0.774194,0.860215,0.903226,0.978495,0.370781,0.267234,0.379615,0.594709,0.553581,0.146953,0.236559,0.729301,0.822670,0.332026,0.408846,0.348213,0.410702
kforth/IfcMaterial2MP,reranked,BAAI/bge-reranker-v2-m3,279,0.189964,0.637993,0.745520,0.784946,0.899642,0.335783,0.221655,0.309698,0.459438,0.543911,0.143369,0.238441,0.589516,0.700806,0.296321,0.380130,0.274482,0.346632
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.186380,0.645161,0.716846,0.727599,0.838710,0.315933,0.228104,0.322057,0.502671,0.541666,0.137903,0.242025,0.587814,0.700806,0.271307,0.364139,0.285503,0.358310
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,279,0.182796,0.738351,0.824373,0.856631,0.906810,0.367127,0.267577,0.374746,0.572862,0.553420,0.132616,0.222222,0.691756,0.788530,0.327139,0.404914,0.343271,0.406614
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,279,0.179211,0.745520,0.838710,0.881720,0.931900,0.358037,0.256806,0.367402,0.578665,0.553074,0.136201,0.222222,0.695341,0.793996,0.320774,0.396105,0.335679,0.401859
google-bert/bert-base-multilingual-uncased,reranked,BAAI/bge-reranker-v2-m3,279,0.172043,0.598566,0.691756,0.741935,0.824373,0.313823,0.210398,0.292669,0.427872,0.540807,0.129032,0.216935,0.539337,0.659498,0.272991,0.353575,0.258337,0.326560
sentence-transformers/LaBSE,reranked,BAAI/bge-reranker-v2-m3,279,0.168459,0.562724,0.670251,0.745520,0.795699,0.312603,0.210088,0.292715,0.406844,0.552408,0.123566,0.213351,0.508961,0.627240,0.264545,0.354623,0.253916,0.330586
