model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.494624,0.777778,0.849462,0.896057,0.917563,0.584488,0.515410,0.580069,0.688027,0.552458,0.444444,0.551971,0.731183,0.827957,0.541620,0.635082,0.539198,0.626546
intfloat/multilingual-e5-large,baseline,-,279,0.387097,0.795699,0.867384,0.896057,0.921147,0.524206,0.472486,0.549324,0.701212,0.859781,0.336918,0.444444,0.749104,0.842294,0.480314,0.570483,0.510291,0.594066
google-bert/bert-base-multilingual-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.376344,0.691756,0.734767,0.752688,0.874552,0.469305,0.323967,0.404881,0.503524,0.519796,0.326165,0.439158,0.637993,0.743817,0.421404,0.527966,0.366375,0.449368
sentence-transformers/LaBSE,baseline,-,279,0.318996,0.598566,0.734767,0.838710,0.903226,0.411657,0.353097,0.418313,0.535288,0.544153,0.258065,0.374642,0.541219,0.655914,0.358067,0.463626,0.369924,0.464898
google/embeddinggemma-300m,baseline,-,279,0.286738,0.835125,0.845878,0.928315,0.985663,0.434191,0.367526,0.494774,0.779510,0.624319,0.240143,0.347849,0.792115,0.880018,0.400032,0.484947,0.465114,0.536032
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,279,0.283154,0.688172,0.770609,0.842294,0.881720,0.412676,0.286085,0.378881,0.520976,0.533401,0.236559,0.342384,0.641398,0.745520,0.369497,0.467096,0.346658,0.424255
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.272401,0.673835,0.813620,0.849462,0.910394,0.416817,0.332434,0.426385,0.597440,0.661585,0.227509,0.329749,0.616487,0.727599,0.373739,0.466623,0.389564,0.466451
sentence-transformers/distiluse-base-multilingual-cased-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.268817,0.731183,0.835125,0.849462,0.910394,0.419794,0.311712,0.404802,0.550546,0.539816,0.220341,0.320878,0.688172,0.786828,0.380893,0.464161,0.374516,0.444353
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.265233,0.580645,0.648746,0.677419,0.835125,0.358827,0.258797,0.327009,0.424927,0.523213,0.218638,0.315412,0.530466,0.634409,0.318098,0.405628,0.290066,0.371824
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,279,0.240143,0.741935,0.885305,0.928315,0.985663,0.406948,0.301191,0.399348,0.567145,0.541071,0.193548,0.293907,0.700448,0.801165,0.369596,0.451395,0.365578,0.439810
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,279,0.232975,0.724014,0.827957,0.896057,0.917563,0.393726,0.287776,0.383019,0.544402,0.541085,0.188082,0.285036,0.686290,0.783244,0.356846,0.437992,0.351106,0.421997
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,279,0.229391,0.749104,0.842294,0.896057,0.921147,0.403873,0.302721,0.402409,0.579049,0.541073,0.186380,0.283154,0.704211,0.799283,0.365557,0.448696,0.366896,0.441360
google-bert/bert-base-multilingual-uncased,reranked,BAAI/bge-reranker-v2-m3,279,0.229391,0.609319,0.759857,0.788530,0.870968,0.349445,0.234361,0.309717,0.423989,0.532226,0.179211,0.281452,0.555556,0.661380,0.304497,0.391621,0.272590,0.345724
intfloat/multilingual-e5-base,baseline,-,279,0.218638,0.655914,0.788530,0.842294,0.881720,0.363900,0.303478,0.374018,0.523417,0.864331,0.173746,0.267115,0.609319,0.709677,0.318928,0.407355,0.336782,0.416330
sentence-transformers/LaBSE,reranked,BAAI/bge-reranker-v2-m3,279,0.197133,0.637993,0.731183,0.838710,0.903226,0.346638,0.245640,0.328091,0.448490,0.540319,0.150538,0.243728,0.589516,0.691756,0.309399,0.389091,0.294538,0.365434
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.193548,0.408602,0.555556,0.591398,0.749104,0.260168,0.211422,0.254515,0.324612,0.513796,0.152240,0.243728,0.352957,0.469534,0.215621,0.311142,0.212100,0.303431
kforth/IfcMaterial2MP,reranked,BAAI/bge-reranker-v2-m3,279,0.186380,0.562724,0.688172,0.720430,0.827957,0.309474,0.189976,0.268000,0.374108,0.535547,0.141487,0.229391,0.516129,0.620072,0.268380,0.352990,0.235408,0.303941
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.164875,0.322581,0.458781,0.591398,0.749104,0.214186,0.114005,0.153017,0.167409,0.563510,0.125269,0.211649,0.275986,0.383513,0.176849,0.258459,0.126622,0.187474
google-bert/bert-base-multilingual-cased,baseline,-,279,0.161290,0.283154,0.512545,0.752688,0.874552,0.191029,0.132302,0.160273,0.187353,0.643656,0.121864,0.206183,0.238262,0.342384,0.153866,0.235961,0.129503,0.195973
kforth/IfcMaterial2MP,baseline,-,279,0.121864,0.566308,0.688172,0.720430,0.827957,0.221656,0.161349,0.229713,0.360514,0.602649,0.086022,0.157706,0.510663,0.623656,0.185211,0.259512,0.198044,0.261885
google-bert/bert-base-german-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.118280,0.161290,0.193548,0.200717,0.261649,0.134259,0.075644,0.094333,0.087916,0.511281,0.086022,0.154122,0.121864,0.207885,0.100784,0.171169,0.072075,0.121604
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,-,279,0.111111,0.394265,0.573477,0.677419,0.835125,0.181639,0.109685,0.159400,0.222333,0.525785,0.075269,0.143369,0.344086,0.455197,0.149786,0.219849,0.131725,0.191125
google-bert/bert-base-multilingual-uncased,baseline,-,279,0.064516,0.408602,0.663082,0.788530,0.870968,0.153065,0.097316,0.153246,0.248029,0.708093,0.039427,0.095072,0.352957,0.462366,0.123487,0.184951,0.126732,0.177927
kforth/IfcElement2ConstructionSets,reranked,BAAI/bge-reranker-v2-m3,279,0.060932,0.164875,0.193548,0.247312,0.419355,0.100791,0.036061,0.058212,0.066897,0.514388,0.032258,0.086022,0.121864,0.204301,0.071313,0.126416,0.039290,0.075328
google-bert/bert-base-german-cased,baseline,-,279,0.010753,0.100358,0.175627,0.200717,0.261649,0.027758,0.015717,0.026919,0.046015,0.830903,0.000000,0.025090,0.068100,0.136201,0.014991,0.042143,0.015942,0.038192
kforth/IfcElement2ConstructionSets,baseline,-,279,0.007168,0.086022,0.132616,0.247312,0.419355,0.023197,0.015841,0.027925,0.052765,0.981922,0.000000,0.017921,0.057348,0.114695,0.013041,0.035326,0.016396,0.040515
