model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.494624,0.777778,0.849462,0.896057,0.917563,0.584488,0.515410,0.580069,0.688027,0.552458,0.444444,0.551971,0.731183,0.827957,0.541620,0.635082,0.539198,0.626546
intfloat/multilingual-e5-large,baseline,-,279,0.387097,0.795699,0.867384,0.896057,0.921147,0.524206,0.472486,0.549324,0.701212,0.859781,0.336918,0.444444,0.749104,0.842294,0.480314,0.570483,0.510291,0.594066
sentence-transformers/LaBSE,baseline,-,279,0.318996,0.598566,0.734767,0.838710,0.903226,0.411657,0.353097,0.418313,0.535288,0.544153,0.258065,0.374642,0.541219,0.655914,0.358067,0.463626,0.369924,0.464898
google/embeddinggemma-300m,baseline,-,279,0.286738,0.835125,0.845878,0.928315,0.985663,0.434191,0.367526,0.494774,0.779510,0.624319,0.240143,0.347849,0.792115,0.880018,0.400032,0.484947,0.465114,0.536032
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.272401,0.673835,0.813620,0.849462,0.910394,0.416817,0.332434,0.426385,0.597440,0.661585,0.227509,0.329749,0.616487,0.727599,0.373739,0.466623,0.389564,0.466451
intfloat/multilingual-e5-large,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.218638,0.763441,0.881720,0.896057,0.921147,0.396565,0.339375,0.446200,0.672683,0.617616,0.175627,0.272401,0.714964,0.810036,0.353084,0.441024,0.408425,0.484949
intfloat/multilingual-e5-base,baseline,-,279,0.218638,0.655914,0.788530,0.842294,0.881720,0.363900,0.303478,0.374018,0.523417,0.864331,0.173746,0.267115,0.609319,0.709677,0.318928,0.407355,0.336782,0.416330
sentence-transformers/LaBSE,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.211470,0.691756,0.802867,0.838710,0.903226,0.351973,0.279007,0.379242,0.581686,0.619025,0.164875,0.259946,0.636111,0.747401,0.305893,0.397288,0.342395,0.417617
intfloat/multilingual-e5-base,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.207885,0.724014,0.810036,0.842294,0.881720,0.356329,0.286739,0.392341,0.608022,0.617650,0.161290,0.258065,0.670251,0.774194,0.309630,0.405690,0.355050,0.431420
BAAI/bge-m3,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.168459,0.784946,0.856631,0.896057,0.917563,0.341689,0.281316,0.401055,0.670985,0.619819,0.125448,0.218638,0.738351,0.829839,0.301203,0.383834,0.366557,0.440790
google/embeddinggemma-300m,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.164875,0.770609,0.863799,0.928315,0.985663,0.331621,0.283037,0.400960,0.671446,0.620096,0.121864,0.211470,0.716846,0.822670,0.291242,0.370808,0.366163,0.436304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.164875,0.322581,0.458781,0.591398,0.749104,0.214186,0.114005,0.153017,0.167409,0.563510,0.125269,0.211649,0.275986,0.383513,0.176849,0.258459,0.126622,0.187474
google-bert/bert-base-multilingual-cased,baseline,-,279,0.161290,0.283154,0.512545,0.752688,0.874552,0.191029,0.132302,0.160273,0.187353,0.643656,0.121864,0.206183,0.238262,0.342384,0.153866,0.235961,0.129503,0.195973
sentence-transformers/distiluse-base-multilingual-cased-v2,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.157706,0.720430,0.849462,0.849462,0.910394,0.330036,0.268907,0.372984,0.585876,0.620002,0.116398,0.202599,0.670251,0.763441,0.292458,0.369272,0.337064,0.407727
google-bert/bert-base-multilingual-uncased,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.150538,0.691756,0.763441,0.788530,0.870968,0.312980,0.241943,0.337132,0.533367,0.618411,0.111111,0.189964,0.641577,0.745520,0.273467,0.349416,0.304153,0.371175
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.150538,0.591398,0.673835,0.677419,0.835125,0.269399,0.193292,0.279469,0.441355,0.620300,0.111111,0.199014,0.532168,0.652330,0.231270,0.313039,0.243247,0.315109
google-bert/bert-base-multilingual-cased,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.136201,0.684588,0.745520,0.752688,0.874552,0.309002,0.221349,0.319484,0.516889,0.618028,0.100358,0.177509,0.630824,0.734767,0.272499,0.344211,0.285221,0.350812
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.129032,0.516129,0.587814,0.591398,0.749104,0.241192,0.179967,0.249380,0.373784,0.618206,0.091308,0.173925,0.465950,0.586111,0.206655,0.287198,0.217486,0.291831
kforth/IfcMaterial2MP,baseline,-,279,0.121864,0.566308,0.688172,0.720430,0.827957,0.221656,0.161349,0.229713,0.360514,0.602649,0.086022,0.157706,0.510663,0.623656,0.185211,0.259512,0.198044,0.261885
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,-,279,0.111111,0.394265,0.573477,0.677419,0.835125,0.181639,0.109685,0.159400,0.222333,0.525785,0.075269,0.143369,0.344086,0.455197,0.149786,0.219849,0.131725,0.191125
kforth/IfcMaterial2MP,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.082437,0.605735,0.709677,0.720430,0.827957,0.239500,0.185848,0.279874,0.474543,0.617467,0.050179,0.120161,0.553674,0.661380,0.209384,0.270593,0.247896,0.314289
google-bert/bert-base-multilingual-uncased,baseline,-,279,0.064516,0.408602,0.663082,0.788530,0.870968,0.153065,0.097316,0.153246,0.248029,0.708093,0.039427,0.095072,0.352957,0.462366,0.123487,0.184951,0.126732,0.177927
kforth/IfcElement2ConstructionSets,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.043011,0.247312,0.247312,0.247312,0.419355,0.113216,0.043962,0.076876,0.106554,0.614496,0.017921,0.068100,0.200717,0.286738,0.086277,0.139565,0.060047,0.094438
google-bert/bert-base-german-cased,reranked,Alibaba-NLP/gte-multilingual-reranker-base,279,0.043011,0.164875,0.197133,0.200717,0.261649,0.089535,0.041678,0.065893,0.087626,0.615102,0.017921,0.068100,0.125448,0.209767,0.063978,0.116132,0.046747,0.085952
google-bert/bert-base-german-cased,baseline,-,279,0.010753,0.100358,0.175627,0.200717,0.261649,0.027758,0.015717,0.026919,0.046015,0.830903,0.000000,0.025090,0.068100,0.136201,0.014991,0.042143,0.015942,0.038192
kforth/IfcElement2ConstructionSets,baseline,-,279,0.007168,0.086022,0.132616,0.247312,0.419355,0.023197,0.015841,0.027925,0.052765,0.981922,0.000000,0.017921,0.057348,0.114695,0.013041,0.035326,0.016396,0.040515
