model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.494624,0.777778,0.849462,0.896057,0.917563,0.584488,0.515410,0.580069,0.688027,0.552458,0.444444,0.551971,0.731183,0.827957,0.541620,0.635082,0.539198,0.626546
google-bert/bert-base-multilingual-cased,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.390681,0.727599,0.745520,0.752688,0.874552,0.510478,0.397906,0.468376,0.556802,0.542675,0.336918,0.451613,0.670251,0.777778,0.461455,0.561798,0.426065,0.515551
intfloat/multilingual-e5-large,baseline,-,279,0.387097,0.795699,0.867384,0.896057,0.921147,0.524206,0.472486,0.549324,0.701212,0.859781,0.336918,0.444444,0.749104,0.842294,0.480314,0.570483,0.510291,0.594066
intfloat/multilingual-e5-base,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.376344,0.767025,0.835125,0.842294,0.881720,0.520520,0.423393,0.509747,0.658030,0.544230,0.320699,0.439158,0.714964,0.817204,0.473194,0.572828,0.467789,0.553817
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.369176,0.551971,0.577061,0.591398,0.749104,0.417364,0.300629,0.359320,0.423878,0.535425,0.317115,0.433692,0.499910,0.618369,0.367846,0.480234,0.319244,0.411910
google-bert/bert-base-multilingual-uncased,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.336918,0.716846,0.777778,0.788530,0.870968,0.475432,0.372707,0.446971,0.565054,0.543487,0.284857,0.387097,0.671953,0.774194,0.429131,0.520551,0.408816,0.489453
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.318996,0.630824,0.666667,0.677419,0.835125,0.433338,0.301959,0.382028,0.485450,0.539486,0.263351,0.374642,0.584229,0.690054,0.382196,0.485548,0.339616,0.426341
sentence-transformers/LaBSE,baseline,-,279,0.318996,0.598566,0.734767,0.838710,0.903226,0.411657,0.353097,0.418313,0.535288,0.544153,0.258065,0.374642,0.541219,0.655914,0.358067,0.463626,0.369924,0.464898
google/embeddinggemma-300m,baseline,-,279,0.286738,0.835125,0.845878,0.928315,0.985663,0.434191,0.367526,0.494774,0.779510,0.624319,0.240143,0.347849,0.792115,0.880018,0.400032,0.484947,0.465114,0.536032
google/embeddinggemma-300m,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.283154,0.838710,0.913978,0.928315,0.985663,0.486211,0.425487,0.531163,0.756511,0.546582,0.227509,0.329749,0.795699,0.888889,0.443615,0.526310,0.494224,0.567781
sentence-transformers/distiluse-base-multilingual-cased-v2,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.279570,0.799283,0.838710,0.849462,0.910394,0.492270,0.412348,0.511279,0.692081,0.545151,0.231093,0.329749,0.756272,0.838710,0.453888,0.531242,0.478200,0.544464
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.272401,0.673835,0.813620,0.849462,0.910394,0.416817,0.332434,0.426385,0.597440,0.661585,0.227509,0.329749,0.616487,0.727599,0.373739,0.466623,0.389564,0.466451
intfloat/multilingual-e5-large,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.268817,0.845878,0.885305,0.896057,0.921147,0.494042,0.428286,0.533490,0.747636,0.546319,0.215054,0.317294,0.800986,0.885305,0.455434,0.534432,0.497053,0.570614
BAAI/bge-m3,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.265233,0.792115,0.881720,0.896057,0.917563,0.467760,0.402789,0.502177,0.704753,0.547176,0.211470,0.315412,0.745520,0.844176,0.426818,0.509579,0.463161,0.541427
sentence-transformers/LaBSE,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.240143,0.749104,0.820789,0.838710,0.903226,0.429813,0.368392,0.465183,0.663245,0.546353,0.191667,0.288620,0.697043,0.797581,0.384911,0.473727,0.425597,0.505806
intfloat/multilingual-e5-base,baseline,-,279,0.218638,0.655914,0.788530,0.842294,0.881720,0.363900,0.303478,0.374018,0.523417,0.864331,0.173746,0.267115,0.609319,0.709677,0.318928,0.407355,0.336782,0.416330
kforth/IfcMaterial2MP,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.211470,0.641577,0.684588,0.720430,0.827957,0.380740,0.307153,0.382834,0.508687,0.545702,0.170161,0.259946,0.591398,0.695341,0.342524,0.424435,0.347482,0.428286
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.164875,0.322581,0.458781,0.591398,0.749104,0.214186,0.114005,0.153017,0.167409,0.563510,0.125269,0.211649,0.275986,0.383513,0.176849,0.258459,0.126622,0.187474
google-bert/bert-base-multilingual-cased,baseline,-,279,0.161290,0.283154,0.512545,0.752688,0.874552,0.191029,0.132302,0.160273,0.187353,0.643656,0.121864,0.206183,0.238262,0.342384,0.153866,0.235961,0.129503,0.195973
kforth/IfcElement2ConstructionSets,reranked,jinaai/jina-reranker-v2-base-multilingual,279,0.129032,0.200717,0.218638,0.247312,0.419355,0.155775,0.058133,0.085066,0.085134,0.531650,0.089606,0.166756,0.154122,0.236559,0.117497,0.193029,0.065046,0.104217
kforth/IfcMaterial2MP,baseline,-,279,0.121864,0.566308,0.688172,0.720430,0.827957,0.221656,0.161349,0.229713,0.360514,0.602649,0.086022,0.157706,0.510663,0.623656,0.185211,0.259512,0.198044,0.261885
