model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.494624,0.777778,0.849462,0.896057,0.917563,0.584488,0.515410,0.580069,0.688027,0.552458,0.444444,0.551971,0.731183,0.827957,0.541620,0.635082,0.539198,0.626546
intfloat/multilingual-e5-large,baseline,-,279,0.387097,0.795699,0.867384,0.896057,0.921147,0.524206,0.472486,0.549324,0.701212,0.859781,0.336918,0.444444,0.749104,0.842294,0.480314,0.570483,0.510291,0.594066
sentence-transformers/LaBSE,baseline,-,279,0.318996,0.598566,0.734767,0.838710,0.903226,0.411657,0.353097,0.418313,0.535288,0.544153,0.258065,0.374642,0.541219,0.655914,0.358067,0.463626,0.369924,0.464898
google/embeddinggemma-300m,baseline,-,279,0.286738,0.835125,0.845878,0.928315,0.985663,0.434191,0.367526,0.494774,0.779510,0.624319,0.240143,0.347849,0.792115,0.880018,0.400032,0.484947,0.465114,0.536032
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.272401,0.673835,0.813620,0.849462,0.910394,0.416817,0.332434,0.426385,0.597440,0.661585,0.227509,0.329749,0.616487,0.727599,0.373739,0.466623,0.389564,0.466451
intfloat/multilingual-e5-base,baseline,-,279,0.218638,0.655914,0.788530,0.842294,0.881720,0.363900,0.303478,0.374018,0.523417,0.864331,0.173746,0.267115,0.609319,0.709677,0.318928,0.407355,0.336782,0.416330
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.164875,0.322581,0.458781,0.591398,0.749104,0.214186,0.114005,0.153017,0.167409,0.563510,0.125269,0.211649,0.275986,0.383513,0.176849,0.258459,0.126622,0.187474
google-bert/bert-base-multilingual-cased,baseline,-,279,0.161290,0.283154,0.512545,0.752688,0.874552,0.191029,0.132302,0.160273,0.187353,0.643656,0.121864,0.206183,0.238262,0.342384,0.153866,0.235961,0.129503,0.195973
kforth/IfcMaterial2MP,baseline,-,279,0.121864,0.566308,0.688172,0.720430,0.827957,0.221656,0.161349,0.229713,0.360514,0.602649,0.086022,0.157706,0.510663,0.623656,0.185211,0.259512,0.198044,0.261885
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,-,279,0.111111,0.394265,0.573477,0.677419,0.835125,0.181639,0.109685,0.159400,0.222333,0.525785,0.075269,0.143369,0.344086,0.455197,0.149786,0.219849,0.131725,0.191125
google-bert/bert-base-multilingual-uncased,baseline,-,279,0.064516,0.408602,0.663082,0.788530,0.870968,0.153065,0.097316,0.153246,0.248029,0.708093,0.039427,0.095072,0.352957,0.462366,0.123487,0.184951,0.126732,0.177927
google/embeddinggemma-300m,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.053763,0.354839,0.688172,0.928315,0.985663,0.125158,0.084813,0.138288,0.240946,0.063636,0.025090,0.082437,0.301075,0.412186,0.095060,0.153316,0.112689,0.165256
BAAI/bge-m3,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.050179,0.322581,0.620072,0.896057,0.917563,0.123024,0.076622,0.127520,0.219184,0.063226,0.025090,0.078853,0.272401,0.376344,0.093817,0.152132,0.098993,0.154808
sentence-transformers/distiluse-base-multilingual-cased-v2,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.046595,0.344086,0.580645,0.849462,0.910394,0.125074,0.092912,0.145302,0.249053,0.064947,0.021505,0.071685,0.295609,0.401434,0.098207,0.152258,0.116879,0.175000
intfloat/multilingual-e5-base,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.046595,0.304659,0.627240,0.842294,0.881720,0.116177,0.071501,0.118612,0.198874,0.063040,0.021505,0.069982,0.256004,0.365591,0.088533,0.146307,0.094306,0.145599
sentence-transformers/LaBSE,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.043011,0.293907,0.551971,0.838710,0.903226,0.116544,0.081062,0.126475,0.205530,0.064066,0.017921,0.066398,0.243728,0.354839,0.090851,0.142075,0.099418,0.152278
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.039427,0.272401,0.448029,0.677419,0.835125,0.101314,0.067986,0.108051,0.183598,0.063123,0.017921,0.060932,0.220341,0.329749,0.073562,0.127774,0.083350,0.136038
intfloat/multilingual-e5-large,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.035842,0.376344,0.681004,0.896057,0.921147,0.120862,0.084504,0.140823,0.247517,0.056955,0.014337,0.057348,0.317115,0.440860,0.092812,0.146980,0.113530,0.169730
kforth/IfcMaterial2MP,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.035842,0.322581,0.584229,0.720430,0.827957,0.115436,0.072521,0.120585,0.203047,0.058396,0.014337,0.060932,0.261649,0.376344,0.088804,0.140764,0.095786,0.145241
google-bert/bert-base-multilingual-uncased,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.035842,0.236559,0.551971,0.788530,0.870968,0.084746,0.053065,0.087765,0.157740,0.058949,0.014337,0.057348,0.188082,0.286738,0.057366,0.108239,0.064638,0.109454
google-bert/bert-base-german-cased,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.032258,0.118280,0.164875,0.200717,0.261649,0.046736,0.026051,0.041822,0.059951,0.053343,0.014337,0.053763,0.082437,0.156004,0.026031,0.068650,0.028095,0.057914
kforth/IfcElement2ConstructionSets,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.021505,0.082437,0.150538,0.247312,0.419355,0.032042,0.008931,0.018468,0.026318,0.043989,0.003584,0.039427,0.050179,0.116577,0.013648,0.050755,0.010120,0.027311
google-bert/bert-base-multilingual-cased,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.017921,0.315412,0.598566,0.752688,0.874552,0.093480,0.063309,0.112037,0.221744,0.058551,0.003584,0.035842,0.254480,0.372760,0.070910,0.115352,0.090250,0.133234
google-bert/bert-base-german-cased,baseline,-,279,0.010753,0.100358,0.175627,0.200717,0.261649,0.027758,0.015717,0.026919,0.046015,0.830903,0.000000,0.025090,0.068100,0.136201,0.014991,0.042143,0.015942,0.038192
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,279,0.007168,0.211470,0.362007,0.591398,0.749104,0.050843,0.035542,0.065652,0.127658,0.057115,0.000000,0.017921,0.168459,0.265233,0.037178,0.068972,0.049894,0.084320
kforth/IfcElement2ConstructionSets,baseline,-,279,0.007168,0.086022,0.132616,0.247312,0.419355,0.023197,0.015841,0.027925,0.052765,0.981922,0.000000,0.017921,0.057348,0.114695,0.013041,0.035326,0.016396,0.040515
