model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.691756,0.960573,1.000000,1.000000,1.000000,0.789636,0.759649,0.813495,0.930577,0.645146,0.637993,0.741935,0.931900,0.982079,0.746039,0.825771,0.774183,0.848873
google-bert/bert-base-multilingual-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.372760,0.655914,0.695341,0.702509,0.838710,0.467166,0.318812,0.390113,0.455018,0.516238,0.318996,0.430108,0.600269,0.711559,0.422544,0.520702,0.351894,0.431584
sentence-transformers/LaBSE,baseline,-,279,0.315412,0.634409,0.720430,0.827957,0.899642,0.409558,0.356440,0.428467,0.575371,0.492326,0.256183,0.372760,0.573477,0.690233,0.356480,0.458173,0.380214,0.472688
google/embeddinggemma-300m,baseline,-,279,0.290323,0.878136,0.896057,0.967742,0.992832,0.451769,0.382241,0.516466,0.821924,0.592021,0.245430,0.354839,0.843996,0.917563,0.413933,0.503206,0.487045,0.555972
intfloat/multilingual-e5-large,baseline,-,279,0.272401,0.727599,0.881720,0.949821,0.960573,0.399542,0.361776,0.438989,0.609874,0.851204,0.218638,0.329749,0.675538,0.784946,0.351561,0.452682,0.398467,0.487225
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.272401,0.555556,0.587814,0.691756,0.831541,0.357618,0.281481,0.360520,0.505504,0.574461,0.227509,0.329749,0.498208,0.602151,0.310543,0.409884,0.320528,0.402530
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,279,0.261649,0.781362,0.921147,0.967742,0.992832,0.427084,0.326400,0.428575,0.609558,0.546976,0.211470,0.308244,0.734767,0.833423,0.386515,0.469404,0.392547,0.467581
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,279,0.258065,0.788530,0.953405,1.000000,1.000000,0.427587,0.330675,0.433776,0.621207,0.546908,0.211470,0.304659,0.745520,0.840591,0.385334,0.468086,0.395555,0.471132
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,279,0.254480,0.795699,0.885305,0.949821,0.960573,0.427934,0.330592,0.435112,0.627735,0.546618,0.206004,0.299373,0.750806,0.845878,0.389324,0.468505,0.396658,0.473167
kforth/IfcMaterial2MP,reranked,BAAI/bge-reranker-v2-m3,279,0.247312,0.713262,0.827957,0.860215,0.931900,0.415520,0.321602,0.402533,0.535399,0.545833,0.197133,0.293907,0.666667,0.765323,0.372822,0.455949,0.359022,0.444007
sentence-transformers/LaBSE,reranked,BAAI/bge-reranker-v2-m3,279,0.236559,0.659498,0.745520,0.827957,0.899642,0.372723,0.267648,0.351849,0.472564,0.546723,0.189964,0.281452,0.609319,0.713262,0.330063,0.416508,0.313463,0.389741
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,279,0.215054,0.591398,0.673835,0.749104,0.813620,0.337691,0.218922,0.301883,0.414226,0.531752,0.171864,0.272401,0.542921,0.655914,0.294084,0.389554,0.274403,0.339048
intfloat/multilingual-e5-base,baseline,-,279,0.193548,0.498208,0.659498,0.749104,0.813620,0.296978,0.250108,0.294045,0.370968,0.857433,0.144892,0.243728,0.442563,0.561022,0.250996,0.343814,0.251150,0.343599
sentence-transformers/distiluse-base-multilingual-cased-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.186380,0.577061,0.677419,0.691756,0.831541,0.326758,0.238928,0.311565,0.416795,0.538028,0.139785,0.229391,0.519713,0.637993,0.284726,0.368672,0.273557,0.350937
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.182796,0.412186,0.487455,0.516129,0.691756,0.246097,0.153738,0.208189,0.272598,0.519084,0.145072,0.229391,0.358423,0.473118,0.209437,0.290471,0.176835,0.241899
google-bert/bert-base-multilingual-uncased,reranked,BAAI/bge-reranker-v2-m3,279,0.164875,0.455197,0.605735,0.634409,0.806452,0.258922,0.150379,0.207838,0.270166,0.531952,0.121864,0.211470,0.401254,0.509140,0.218183,0.305574,0.174188,0.243241
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.164875,0.311828,0.415771,0.508961,0.802867,0.207614,0.108986,0.145481,0.156417,0.567714,0.125269,0.211649,0.261649,0.369176,0.168015,0.252105,0.118235,0.176301
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.125448,0.329749,0.473118,0.508961,0.802867,0.185228,0.135884,0.176578,0.237993,0.511120,0.086022,0.168459,0.275986,0.387097,0.143538,0.227465,0.144167,0.211934
kforth/IfcMaterial2MP,baseline,-,279,0.121864,0.681004,0.806452,0.860215,0.931900,0.240355,0.188133,0.279872,0.494743,0.600801,0.084140,0.161290,0.620072,0.734767,0.208509,0.274656,0.250207,0.310718
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,-,279,0.114695,0.351254,0.480287,0.516129,0.691756,0.177566,0.106910,0.150816,0.202202,0.524234,0.078853,0.146953,0.295609,0.408602,0.139676,0.217354,0.121063,0.185269
google-bert/bert-base-german-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.100358,0.136201,0.157706,0.179211,0.240143,0.113889,0.062874,0.078854,0.073519,0.507631,0.071685,0.134498,0.100358,0.182796,0.084404,0.152074,0.056657,0.104608
google-bert/bert-base-multilingual-cased,baseline,-,279,0.068100,0.268817,0.491039,0.702509,0.838710,0.117574,0.075452,0.110912,0.174808,0.623536,0.043011,0.100358,0.223925,0.326165,0.090646,0.150753,0.088647,0.138458
google-bert/bert-base-multilingual-uncased,baseline,-,279,0.057348,0.347670,0.544803,0.634409,0.806452,0.129768,0.071788,0.116260,0.176941,0.685939,0.032258,0.089606,0.290323,0.408602,0.100519,0.163018,0.092662,0.146210
kforth/IfcElement2ConstructionSets,reranked,BAAI/bge-reranker-v2-m3,279,0.039427,0.139785,0.164875,0.218638,0.351254,0.072495,0.024226,0.040223,0.046706,0.508270,0.017921,0.060932,0.100358,0.177509,0.047082,0.094542,0.025413,0.055569
google-bert/bert-base-german-cased,baseline,-,279,0.007168,0.107527,0.150538,0.179211,0.240143,0.025528,0.013796,0.027002,0.053601,0.839031,0.000000,0.017921,0.075269,0.141667,0.014983,0.038496,0.018118,0.038023
kforth/IfcElement2ConstructionSets,baseline,-,279,0.007168,0.050179,0.096774,0.218638,0.351254,0.014176,0.009482,0.016431,0.031976,0.982282,0.000000,0.017921,0.028674,0.075269,0.005063,0.026290,0.007310,0.028012
