model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.519713,0.810036,0.863799,0.899642,0.917563,0.616378,0.549287,0.613085,0.716701,0.528371,0.465950,0.580645,0.767025,0.862097,0.576837,0.666726,0.573521,0.662289
sentence-transformers/LaBSE,baseline,-,279,0.315412,0.634409,0.720430,0.827957,0.899642,0.409558,0.356440,0.428467,0.575371,0.492326,0.256183,0.372760,0.573477,0.690233,0.356480,0.458173,0.380214,0.472688
google/embeddinggemma-300m,baseline,-,279,0.290323,0.878136,0.896057,0.967742,0.992832,0.451769,0.382241,0.516466,0.821924,0.592021,0.245430,0.354839,0.843996,0.917563,0.413933,0.503206,0.487045,0.555972
intfloat/multilingual-e5-large,baseline,-,279,0.272401,0.727599,0.881720,0.949821,0.960573,0.399542,0.361776,0.438989,0.609874,0.851204,0.218638,0.329749,0.675538,0.784946,0.351561,0.452682,0.398467,0.487225
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.272401,0.555556,0.587814,0.691756,0.831541,0.357618,0.281481,0.360520,0.505504,0.574461,0.227509,0.329749,0.498208,0.602151,0.310543,0.409884,0.320528,0.402530
intfloat/multilingual-e5-base,baseline,-,279,0.193548,0.498208,0.659498,0.749104,0.813620,0.296978,0.250108,0.294045,0.370968,0.857433,0.144892,0.243728,0.442563,0.561022,0.250996,0.343814,0.251150,0.343599
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.164875,0.311828,0.415771,0.508961,0.802867,0.207614,0.108986,0.145481,0.156417,0.567714,0.125269,0.211649,0.261649,0.369176,0.168015,0.252105,0.118235,0.176301
kforth/IfcMaterial2MP,baseline,-,279,0.121864,0.681004,0.806452,0.860215,0.931900,0.240355,0.188133,0.279872,0.494743,0.600801,0.084140,0.161290,0.620072,0.734767,0.208509,0.274656,0.250207,0.310718
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,-,279,0.114695,0.351254,0.480287,0.516129,0.691756,0.177566,0.106910,0.150816,0.202202,0.524234,0.078853,0.146953,0.295609,0.408602,0.139676,0.217354,0.121063,0.185269
google-bert/bert-base-multilingual-cased,baseline,-,279,0.068100,0.268817,0.491039,0.702509,0.838710,0.117574,0.075452,0.110912,0.174808,0.623536,0.043011,0.100358,0.223925,0.326165,0.090646,0.150753,0.088647,0.138458
google-bert/bert-base-multilingual-uncased,baseline,-,279,0.057348,0.347670,0.544803,0.634409,0.806452,0.129768,0.071788,0.116260,0.176941,0.685939,0.032258,0.089606,0.290323,0.408602,0.100519,0.163018,0.092662,0.146210
google-bert/bert-base-german-cased,baseline,-,279,0.007168,0.107527,0.150538,0.179211,0.240143,0.025528,0.013796,0.027002,0.053601,0.839031,0.000000,0.017921,0.075269,0.141667,0.014983,0.038496,0.018118,0.038023
kforth/IfcElement2ConstructionSets,baseline,-,279,0.007168,0.050179,0.096774,0.218638,0.351254,0.014176,0.009482,0.016431,0.031976,0.982282,0.000000,0.017921,0.028674,0.075269,0.005063,0.026290,0.007310,0.028012
