model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.365591,0.749104,0.835125,0.885305,0.928315,0.496347,0.432905,0.511976,0.665284,0.543099,0.309946,0.424821,0.695341,0.799283,0.450199,0.544393,0.463835,0.554811
intfloat/multilingual-e5-large,baseline,-,279,0.311828,0.630824,0.774194,0.838710,0.881720,0.402580,0.351610,0.417272,0.548541,0.850978,0.261649,0.365591,0.569892,0.688172,0.356211,0.461091,0.375002,0.472328
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.304659,0.534050,0.623656,0.724014,0.842294,0.369858,0.287425,0.358654,0.468937,0.571555,0.248835,0.365591,0.474821,0.591398,0.317662,0.423523,0.314096,0.405603
sentence-transformers/LaBSE,baseline,-,279,0.297491,0.548387,0.641577,0.720430,0.799283,0.386920,0.341916,0.393926,0.474356,0.460537,0.243548,0.353136,0.485573,0.609319,0.337692,0.437025,0.346863,0.444015
google/embeddinggemma-300m,baseline,-,279,0.265233,0.838710,0.881720,0.903226,0.978495,0.437744,0.373263,0.495833,0.769824,0.586485,0.215054,0.311828,0.795699,0.885305,0.398734,0.482535,0.460449,0.535702
google-bert/bert-base-multilingual-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.265233,0.526882,0.548387,0.551971,0.813620,0.346649,0.243198,0.306845,0.386209,0.519119,0.220341,0.322581,0.476703,0.582527,0.306038,0.397983,0.273031,0.347199
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,279,0.261649,0.688172,0.745520,0.777778,0.870968,0.396345,0.280311,0.377873,0.542832,0.531081,0.213172,0.315412,0.641577,0.741935,0.355131,0.447944,0.343511,0.419611
intfloat/multilingual-e5-base,baseline,-,279,0.247312,0.559140,0.659498,0.777778,0.870968,0.341945,0.278914,0.337188,0.433419,0.856640,0.197133,0.301075,0.505376,0.616487,0.294119,0.395134,0.296120,0.387361
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,279,0.236559,0.788530,0.870968,0.903226,0.978495,0.412569,0.307123,0.417235,0.623425,0.540453,0.193548,0.283154,0.745520,0.835125,0.375710,0.453806,0.384154,0.451812
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,279,0.229391,0.752688,0.813620,0.838710,0.881720,0.406450,0.303340,0.410219,0.607279,0.538724,0.179211,0.275986,0.702509,0.799283,0.366444,0.450827,0.377209,0.447426
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,279,0.215054,0.756272,0.835125,0.885305,0.928315,0.388868,0.280165,0.388868,0.591807,0.540404,0.170161,0.259946,0.709677,0.804749,0.349188,0.432636,0.356031,0.424106
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.215054,0.537634,0.594982,0.620072,0.795699,0.309255,0.207521,0.280105,0.385629,0.523443,0.168459,0.261649,0.483871,0.594982,0.266708,0.350558,0.244439,0.319430
sentence-transformers/distiluse-base-multilingual-cased-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.204301,0.648746,0.698925,0.724014,0.842294,0.366998,0.267960,0.359883,0.508303,0.534373,0.157706,0.254480,0.598566,0.702509,0.329312,0.411758,0.323919,0.401218
google-bert/bert-base-multilingual-uncased,reranked,BAAI/bge-reranker-v2-m3,279,0.189964,0.476703,0.573477,0.602151,0.767025,0.275155,0.174715,0.235167,0.314371,0.531421,0.136201,0.236559,0.412186,0.537634,0.226509,0.320114,0.195658,0.273499
kforth/IfcMaterial2MP,reranked,BAAI/bge-reranker-v2-m3,279,0.182796,0.609319,0.684588,0.727599,0.860215,0.322232,0.210844,0.297613,0.442806,0.533306,0.136201,0.222222,0.555556,0.670251,0.282423,0.363484,0.263843,0.331956
sentence-transformers/LaBSE,reranked,BAAI/bge-reranker-v2-m3,279,0.172043,0.562724,0.652330,0.720430,0.799283,0.313713,0.214504,0.294519,0.408252,0.536187,0.127151,0.213351,0.505376,0.620072,0.266091,0.357170,0.254977,0.332852
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.164875,0.501792,0.584229,0.598566,0.738351,0.252643,0.193776,0.257317,0.372657,0.520664,0.121864,0.213351,0.451613,0.562724,0.216289,0.301480,0.224678,0.301846
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,-,279,0.150538,0.422939,0.534050,0.620072,0.795699,0.221276,0.135676,0.190741,0.260573,0.525259,0.107527,0.188262,0.370878,0.487455,0.183792,0.266486,0.159720,0.225257
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.107527,0.369176,0.483871,0.598566,0.738351,0.169752,0.097668,0.142754,0.195059,0.567394,0.071685,0.150538,0.317115,0.430108,0.134341,0.216567,0.115029,0.173230
google-bert/bert-base-german-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.082437,0.125448,0.136201,0.136201,0.232975,0.096225,0.042642,0.059274,0.061017,0.506917,0.053763,0.116577,0.086022,0.164875,0.066406,0.132470,0.037870,0.083297
kforth/IfcMaterial2MP,baseline,-,279,0.078853,0.487455,0.648746,0.727599,0.860215,0.181213,0.118245,0.185794,0.316120,0.582055,0.046595,0.112993,0.429928,0.551971,0.145596,0.211628,0.152009,0.213472
google-bert/bert-base-multilingual-cased,baseline,-,279,0.060932,0.247312,0.412186,0.551971,0.813620,0.106440,0.068349,0.101945,0.163492,0.621184,0.032258,0.086022,0.200717,0.301075,0.075695,0.136006,0.075392,0.128817
google-bert/bert-base-multilingual-uncased,baseline,-,279,0.043011,0.308244,0.480287,0.602151,0.767025,0.110245,0.059110,0.102436,0.174970,0.680548,0.021505,0.068100,0.250896,0.358423,0.082808,0.138771,0.080213,0.121066
