model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,279,0.297491,0.738351,0.784946,0.810036,0.892473,0.437100,0.355148,0.457681,0.656554,0.525888,0.243728,0.358423,0.688172,0.790412,0.388993,0.488230,0.416961,0.501448
google/embeddinggemma-300m,baseline,-,279,0.286738,0.878136,0.935484,0.946237,0.974910,0.431740,0.347050,0.484255,0.801656,0.558112,0.234677,0.347670,0.840412,0.923029,0.390224,0.482303,0.450299,0.520692
google-bert/bert-base-multilingual-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.261649,0.573477,0.645161,0.652330,0.913978,0.384319,0.304067,0.362265,0.437447,0.524533,0.218638,0.318996,0.517832,0.627240,0.342021,0.438023,0.320990,0.414621
intfloat/multilingual-e5-base,baseline,-,279,0.247312,0.559140,0.731183,0.810036,0.892473,0.340421,0.305930,0.358745,0.459532,0.844943,0.195251,0.302957,0.505376,0.616487,0.289632,0.389892,0.311658,0.407003
sentence-transformers/LaBSE,baseline,-,279,0.243728,0.591398,0.670251,0.681004,0.716846,0.368561,0.315417,0.386295,0.523895,0.376910,0.189964,0.290323,0.541219,0.647043,0.323802,0.412634,0.347007,0.428354
intfloat/multilingual-e5-large,baseline,-,279,0.225806,0.544803,0.713262,0.806452,0.881720,0.321326,0.262355,0.328986,0.449915,0.834601,0.179211,0.276165,0.491039,0.604032,0.274555,0.371634,0.288044,0.373624
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,279,0.215054,0.734767,0.781362,0.806452,0.881720,0.396027,0.321349,0.431424,0.658551,0.535110,0.162993,0.268817,0.684588,0.786828,0.352625,0.438861,0.393007,0.470466
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.215054,0.612903,0.637993,0.648746,0.838710,0.349403,0.242908,0.326054,0.443070,0.516220,0.166577,0.263530,0.559140,0.668548,0.310340,0.394680,0.290009,0.363629
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.211470,0.637993,0.655914,0.659498,0.795699,0.359596,0.255013,0.344410,0.491534,0.523354,0.166577,0.272401,0.585932,0.693638,0.318936,0.407545,0.310551,0.387460
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,279,0.197133,0.817204,0.921147,0.946237,0.974910,0.385017,0.303837,0.427568,0.682608,0.536604,0.146953,0.243728,0.777778,0.863799,0.348125,0.427644,0.396057,0.463224
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,279,0.179211,0.774194,0.838710,0.860215,0.949821,0.372596,0.314839,0.432698,0.688198,0.536861,0.132616,0.225806,0.727599,0.826254,0.333098,0.413650,0.393482,0.469242
