model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
intfloat/multilingual-e5-large,baseline,-,279,0.358423,0.824373,0.849462,0.906810,0.924731,0.548649,0.479385,0.570682,0.745221,0.858569,0.308244,0.410484,0.777778,0.867384,0.509429,0.594025,0.533476,0.609432
BAAI/bge-m3,baseline,-,279,0.351254,0.759857,0.845878,0.910394,0.967742,0.471793,0.391032,0.483850,0.664311,0.586140,0.302778,0.405018,0.713262,0.815502,0.425732,0.521806,0.444175,0.527372
kforth/IfcMaterial2MP,baseline,-,279,0.329749,0.731183,0.831541,0.885305,0.946237,0.468672,0.337168,0.426819,0.566547,0.632010,0.270520,0.388978,0.681004,0.781541,0.422690,0.519340,0.388336,0.466642
google/embeddinggemma-300m,baseline,-,279,0.315412,0.827957,0.842294,0.942652,0.974910,0.450232,0.385518,0.506216,0.782753,0.672368,0.268817,0.372760,0.786649,0.870968,0.411048,0.494767,0.475683,0.545240
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.254480,0.731183,0.749104,0.756272,0.806452,0.402752,0.248722,0.355787,0.527121,0.576845,0.211470,0.308244,0.686290,0.784946,0.365480,0.449599,0.327991,0.388899
google-bert/bert-base-multilingual-uncased,reranked,BAAI/bge-reranker-v2-m3,279,0.240143,0.724014,0.842294,0.860215,0.931900,0.397245,0.252889,0.353594,0.518971,0.577066,0.193548,0.297491,0.679122,0.781362,0.354611,0.448733,0.319434,0.388599
intfloat/multilingual-e5-base,baseline,-,279,0.240143,0.752688,0.831541,0.874552,0.899642,0.374026,0.337073,0.422573,0.632232,0.866437,0.193548,0.299373,0.704211,0.799283,0.329219,0.424617,0.382333,0.473046
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,279,0.236559,0.745520,0.827957,0.874552,0.899642,0.382814,0.257616,0.369499,0.564320,0.579843,0.191667,0.293907,0.700627,0.795699,0.344667,0.433333,0.343546,0.400490
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.236559,0.698925,0.781362,0.792115,0.831541,0.343129,0.237357,0.346429,0.564815,0.784309,0.195251,0.290323,0.646864,0.756272,0.302273,0.391749,0.315112,0.379400
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.225806,0.731183,0.781362,0.792115,0.831541,0.383915,0.237378,0.344748,0.523238,0.578962,0.179211,0.281452,0.684588,0.784946,0.343466,0.433127,0.317271,0.377657
