model,mode,cases,hit@1,hit@5,hit@10,mrr,map@10,ndcg@10,recall@10,coverage_at_90acc,coverage_at_95acc,coverage_at_97acc,coverage_at_99acc,coverage_at_95acc_margin,coverage_at_90acc_margin,auto_threshold,auto_coverage,auto_accuracy,manual_hit@10,aurc,val_coverage_at_target,val_accuracy_at_target,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high,coverage@95_ci_low,coverage@95_ci_high
kforth/IfcElement2ConstructionSets,decision,2,0.500000,0.500000,1.000000,0.583333,0.583333,0.678104,1.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,1.000000,0.125000,0.000000,0.000000,0.989979,0.000000,1.000000,1.000000,1.000000,0.166667,1.000000,0.356207,1.000000,0.000000,1.000000
google/embeddinggemma-300m,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.813166,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
BAAI/bge-m3,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.773844,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
intfloat/multilingual-e5-large,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.915904,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
intfloat/multilingual-e5-base,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.934959,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
sentence-transformers/LaBSE,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.744695,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.880962,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.832927,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
sentence-transformers/distiluse-base-multilingual-cased-v2,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.333333,1.000000,0.500000,0.000000,0.125000,1.000000,1.000000,0.794644,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
kforth/IfcMaterial2MP,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.824041,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
google-bert/bert-base-german-cased,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.913024,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
google-bert/bert-base-multilingual-uncased,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.866816,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
google-bert/bert-base-multilingual-cased,decision,2,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,0.000000,0.000000,0.500000,0.125000,0.000000,0.000000,0.857883,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000
