model,cases,hit@1,hit@5,hit@10,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,279,0.365591,0.677419,0.749104,0.496347,0.432905,0.511976,0.665284,0.543099,0.309946,0.424821,0.695341,0.799283,0.450199,0.544393,0.463835,0.554811
intfloat/multilingual-e5-large,279,0.311828,0.512545,0.630824,0.402580,0.351610,0.417272,0.548541,0.850978,0.261649,0.365591,0.569892,0.688172,0.356211,0.461091,0.375002,0.472328
sentence-transformers/distiluse-base-multilingual-cased-v2,279,0.304659,0.451613,0.534050,0.369858,0.287425,0.358654,0.468937,0.571555,0.248835,0.365591,0.474821,0.591398,0.317662,0.423523,0.314096,0.405603
sentence-transformers/LaBSE,279,0.297491,0.494624,0.548387,0.386920,0.341916,0.393926,0.474356,0.460537,0.243548,0.353136,0.485573,0.609319,0.337692,0.437025,0.346863,0.444015
google/embeddinggemma-300m,279,0.265233,0.655914,0.838710,0.436558,0.372077,0.494823,0.769824,0.584845,0.215054,0.311828,0.795699,0.885305,0.397312,0.481287,0.458956,0.534733
intfloat/multilingual-e5-base,279,0.247312,0.455197,0.559140,0.341945,0.278914,0.337188,0.433419,0.856640,0.197133,0.301075,0.505376,0.616487,0.294119,0.395134,0.296120,0.387361
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,279,0.150538,0.322581,0.422939,0.221276,0.135676,0.190741,0.260573,0.525259,0.107527,0.188262,0.370878,0.487455,0.183792,0.266486,0.159720,0.225257
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,279,0.107527,0.236559,0.369176,0.169752,0.097668,0.142754,0.195059,0.567394,0.071685,0.150538,0.317115,0.430108,0.134341,0.216567,0.115029,0.173230
kforth/IfcMaterial2MP,279,0.078853,0.279570,0.487455,0.181213,0.118245,0.185794,0.316120,0.582055,0.046595,0.112993,0.429928,0.551971,0.145596,0.211628,0.152009,0.213472
google-bert/bert-base-multilingual-cased,279,0.060932,0.179211,0.247312,0.106440,0.068349,0.101945,0.163492,0.621184,0.032258,0.086022,0.200717,0.301075,0.075695,0.136006,0.075392,0.128817
google-bert/bert-base-multilingual-uncased,279,0.043011,0.189964,0.308244,0.110245,0.059110,0.102436,0.174970,0.680548,0.021505,0.068100,0.250896,0.358423,0.082808,0.138771,0.080213,0.121066
kforth/IfcElement2ConstructionSets,279,0.007168,0.046595,0.075269,0.024327,0.008085,0.017548,0.030048,0.981402,0.000000,0.017921,0.046595,0.107527,0.013012,0.038075,0.010156,0.027271
google-bert/bert-base-german-cased,279,0.003584,0.043011,0.068100,0.019621,0.013476,0.023673,0.045212,0.829403,0.000000,0.010753,0.039427,0.093190,0.010392,0.031987,0.013132,0.035772
