model,cases,hit@1,hit@5,hit@10,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,279,0.322581,0.648746,0.731183,0.449603,0.387213,0.465379,0.622743,0.552469,0.272401,0.379928,0.675538,0.784946,0.407490,0.496248,0.422136,0.514478
google/embeddinggemma-300m,279,0.315412,0.691756,0.853047,0.468955,0.399886,0.518445,0.780150,0.594954,0.261649,0.374642,0.810036,0.896057,0.428374,0.516737,0.478920,0.561577
intfloat/multilingual-e5-large,279,0.286738,0.591398,0.706093,0.411140,0.360902,0.443037,0.619312,0.852172,0.236559,0.344086,0.654032,0.763441,0.365225,0.468477,0.402407,0.496190
sentence-transformers/LaBSE,279,0.283154,0.534050,0.602151,0.395535,0.344116,0.406460,0.511854,0.504443,0.232975,0.336918,0.537634,0.666667,0.345551,0.452810,0.359122,0.456726
sentence-transformers/distiluse-base-multilingual-cased-v2,279,0.261649,0.512545,0.584229,0.366368,0.284238,0.364217,0.502970,0.581766,0.218638,0.315412,0.525000,0.637993,0.319013,0.415772,0.320196,0.408880
intfloat/multilingual-e5-base,279,0.261649,0.480287,0.605735,0.358093,0.307138,0.369894,0.498677,0.860445,0.216756,0.318996,0.550090,0.670251,0.314352,0.411223,0.325232,0.418999
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,279,0.143369,0.336918,0.508961,0.234983,0.169802,0.242534,0.380176,0.590133,0.107527,0.182796,0.449731,0.564606,0.197057,0.276643,0.210371,0.279901
google-bert/bert-base-multilingual-cased,279,0.121864,0.258065,0.383513,0.189785,0.136648,0.185299,0.277419,0.609789,0.086022,0.157706,0.335036,0.448029,0.153452,0.228059,0.151166,0.219038
kforth/IfcMaterial2MP,279,0.111111,0.433692,0.612903,0.249478,0.173847,0.256115,0.416308,0.597046,0.075269,0.154122,0.559140,0.672133,0.210695,0.289884,0.222422,0.290240
google-bert/bert-base-multilingual-uncased,279,0.103943,0.329749,0.483871,0.191907,0.130151,0.197069,0.328503,0.702799,0.069803,0.141667,0.426523,0.541219,0.157223,0.228870,0.164045,0.227680
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,279,0.046595,0.204301,0.405018,0.125223,0.095769,0.154746,0.290493,0.645475,0.021505,0.071685,0.347670,0.464247,0.100685,0.151767,0.129941,0.184579
google-bert/bert-base-german-cased,279,0.003584,0.057348,0.078853,0.022131,0.016340,0.027766,0.053234,0.842045,0.000000,0.010753,0.050179,0.111111,0.012971,0.034044,0.016500,0.040806
kforth/IfcElement2ConstructionSets,279,0.000000,0.032258,0.068100,0.016283,0.008192,0.016889,0.030722,0.980051,0.000000,0.000000,0.043011,0.102240,0.008443,0.025140,0.008659,0.025958
