model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
google-bert/bert-base-multilingual-uncased,reranked,BAAI/bge-reranker-v2-m3,279,0.430108,0.677419,0.824373,0.853047,0.953405,0.491317,0.301020,0.376205,0.445759,0.564215,0.379928,0.483871,0.628943,0.736649,0.444437,0.543528,0.341162,0.417378
intfloat/multilingual-e5-base,baseline,-,279,0.405018,0.759857,0.810036,0.885305,0.939068,0.545015,0.446608,0.527393,0.660548,0.871971,0.354839,0.458781,0.709498,0.806452,0.501554,0.588490,0.487640,0.568085
kforth/IfcMaterial2MP,baseline,-,279,0.354839,0.770609,0.863799,0.917563,0.956989,0.498041,0.381419,0.470109,0.593557,0.687654,0.302778,0.412186,0.725717,0.813620,0.456902,0.545850,0.432272,0.508335
kforth/IfcMaterial2MP,reranked,BAAI/bge-reranker-v2-m3,279,0.336918,0.702509,0.845878,0.917563,0.956989,0.470892,0.336265,0.416737,0.505146,0.582417,0.284857,0.390681,0.659498,0.761738,0.427902,0.519492,0.377761,0.459241
BAAI/bge-m3,baseline,-,279,0.329749,0.759857,0.892473,0.921147,0.935484,0.505341,0.444927,0.521424,0.668442,0.630528,0.283154,0.383513,0.716846,0.810036,0.469295,0.554216,0.482961,0.567425
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.290323,0.677419,0.763441,0.792115,0.896057,0.428664,0.270191,0.357160,0.467981,0.563792,0.243728,0.340502,0.632527,0.731362,0.388461,0.476992,0.328868,0.396134
intfloat/multilingual-e5-large,baseline,-,279,0.279570,0.806452,0.892473,0.906810,0.935484,0.477125,0.429431,0.520265,0.707655,0.870067,0.232975,0.340502,0.759857,0.853047,0.439527,0.524859,0.487050,0.564519
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.272401,0.799283,0.820789,0.892473,0.917563,0.452581,0.353056,0.458700,0.660761,0.780787,0.225806,0.331631,0.754391,0.844176,0.415247,0.499957,0.424301,0.503340
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.265233,0.716846,0.831541,0.835125,0.910394,0.420241,0.265180,0.364968,0.504037,0.566818,0.211470,0.317294,0.668369,0.768907,0.379477,0.463788,0.337292,0.401452
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.236559,0.720430,0.781362,0.835125,0.910394,0.410548,0.306401,0.398663,0.551289,0.801515,0.195251,0.295968,0.673835,0.768907,0.372722,0.457138,0.368145,0.437053
google-bert/bert-base-multilingual-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.179211,0.627240,0.824373,0.906810,0.956989,0.375727,0.246131,0.323650,0.408542,0.585500,0.139606,0.224104,0.575179,0.693638,0.340512,0.418286,0.292198,0.357574
google-bert/bert-base-multilingual-cased,baseline,-,279,0.168459,0.483871,0.759857,0.906810,0.956989,0.232250,0.173535,0.223481,0.306870,0.724640,0.127151,0.213351,0.433692,0.550269,0.195054,0.276602,0.187449,0.266039
google/embeddinggemma-300m,baseline,-,279,0.164875,0.824373,0.856631,0.960573,0.996416,0.362319,0.347728,0.468898,0.773110,0.737312,0.125448,0.200717,0.777599,0.870968,0.326825,0.402156,0.438405,0.505764
kforth/IfcElement2ConstructionSets,reranked,BAAI/bge-reranker-v2-m3,279,0.150538,0.358423,0.387097,0.419355,0.483871,0.190193,0.107838,0.158195,0.238232,0.548196,0.111111,0.189964,0.297491,0.412186,0.154280,0.230401,0.132816,0.187282
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,279,0.146953,0.641577,0.784946,0.921147,0.935484,0.335374,0.233051,0.318101,0.439742,0.589487,0.103943,0.186380,0.596685,0.697222,0.301561,0.371338,0.290074,0.349538
google-bert/bert-base-german-cased,baseline,-,279,0.146953,0.444444,0.483871,0.566308,0.835125,0.266530,0.218436,0.265175,0.345733,0.835238,0.109229,0.186380,0.387097,0.496505,0.224378,0.306395,0.224385,0.300612
sentence-transformers/LaBSE,baseline,-,279,0.143369,0.731183,0.770609,0.820789,0.978495,0.350771,0.337375,0.433432,0.663202,0.658106,0.100358,0.189964,0.673835,0.785125,0.312901,0.393949,0.391125,0.474337
sentence-transformers/LaBSE,reranked,BAAI/bge-reranker-v2-m3,279,0.143369,0.627240,0.734767,0.820789,0.978495,0.346855,0.236464,0.316496,0.414738,0.586247,0.103943,0.182796,0.575179,0.684588,0.308854,0.379611,0.283694,0.349464
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,279,0.139785,0.681004,0.781362,0.885305,0.939068,0.351245,0.247081,0.341917,0.495298,0.584054,0.100358,0.177509,0.634409,0.733065,0.315356,0.387152,0.312683,0.375810
