model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.476703,0.749104,0.863799,0.892473,0.946237,0.573865,0.506902,0.569146,0.670703,0.546088,0.426523,0.534050,0.700627,0.799283,0.529345,0.627279,0.528589,0.618915
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.315412,0.731183,0.824373,0.849462,0.913978,0.453756,0.370275,0.463747,0.633581,0.685135,0.270520,0.365591,0.682706,0.779659,0.411299,0.501834,0.424197,0.506298
intfloat/multilingual-e5-base,reranked,BAAI/bge-reranker-v2-m3,279,0.286738,0.709677,0.820789,0.856631,0.888889,0.410612,0.266025,0.368273,0.527249,0.526667,0.240143,0.342384,0.663082,0.763441,0.367938,0.459414,0.340300,0.409033
google/embeddinggemma-300m,baseline,-,279,0.283154,0.835125,0.870968,0.924731,0.989247,0.442221,0.394935,0.508759,0.772854,0.618903,0.236559,0.338799,0.788351,0.881900,0.407233,0.493421,0.474130,0.551670
intfloat/multilingual-e5-large,baseline,-,279,0.279570,0.810036,0.856631,0.892473,0.910394,0.445752,0.408150,0.496636,0.698609,0.856257,0.232796,0.333333,0.765143,0.858513,0.407167,0.495099,0.459787,0.541328
google-bert/bert-base-multilingual-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.265233,0.677419,0.731183,0.738351,0.903226,0.402849,0.265655,0.354413,0.478179,0.515291,0.218638,0.320878,0.623656,0.731183,0.360879,0.450975,0.323721,0.393535
sentence-transformers/LaBSE,baseline,-,279,0.258065,0.598566,0.738351,0.831541,0.892473,0.372794,0.337757,0.402200,0.527522,0.543690,0.206004,0.315412,0.537634,0.655914,0.323789,0.421792,0.357458,0.447520
google-bert/bert-base-multilingual-uncased,reranked,BAAI/bge-reranker-v2-m3,279,0.225806,0.666667,0.741935,0.763441,0.853047,0.364502,0.232225,0.322734,0.463415,0.530162,0.179211,0.281452,0.612903,0.720430,0.326128,0.414027,0.291242,0.360525
intfloat/multilingual-e5-large,reranked,BAAI/bge-reranker-v2-m3,279,0.215054,0.749104,0.863799,0.892473,0.910394,0.390973,0.278993,0.384134,0.566078,0.530644,0.162993,0.261649,0.702509,0.799283,0.351297,0.432529,0.348800,0.419857
intfloat/multilingual-e5-base,baseline,-,279,0.211470,0.602151,0.784946,0.856631,0.888889,0.352156,0.299451,0.358020,0.471266,0.863418,0.166577,0.261649,0.548387,0.661380,0.309581,0.396964,0.318770,0.404386
kforth/IfcMaterial2MP,reranked,BAAI/bge-reranker-v2-m3,279,0.211470,0.602151,0.706093,0.731183,0.845878,0.335259,0.205492,0.284073,0.387848,0.524173,0.168459,0.258065,0.551971,0.657796,0.295482,0.381521,0.251620,0.320439
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.211470,0.577061,0.681004,0.698925,0.831541,0.333012,0.252947,0.328617,0.462101,0.522161,0.161290,0.268817,0.528584,0.630824,0.290424,0.385494,0.295845,0.374038
BAAI/bge-m3,reranked,BAAI/bge-reranker-v2-m3,279,0.204301,0.745520,0.838710,0.892473,0.946237,0.376759,0.265204,0.370055,0.553917,0.530768,0.155824,0.250896,0.700627,0.795699,0.337033,0.420768,0.341624,0.404154
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,-,279,0.197133,0.387097,0.530466,0.663082,0.856631,0.243004,0.139809,0.184174,0.211410,0.511229,0.148656,0.243728,0.342204,0.451792,0.200293,0.289962,0.152715,0.216766
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.193548,0.372760,0.584229,0.698925,0.831541,0.237579,0.121900,0.168603,0.198583,0.562948,0.150538,0.240143,0.318996,0.435573,0.196959,0.283545,0.140853,0.201095
sentence-transformers/distiluse-base-multilingual-cased-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.189964,0.763441,0.817204,0.849462,0.913978,0.379522,0.267817,0.381255,0.580073,0.529979,0.145072,0.236559,0.720430,0.813620,0.344580,0.419581,0.352922,0.415853
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,reranked,BAAI/bge-reranker-v2-m3,279,0.189964,0.598566,0.637993,0.663082,0.856631,0.299791,0.195705,0.277388,0.410164,0.517104,0.154122,0.236559,0.550090,0.657796,0.264970,0.344925,0.247319,0.313089
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,279,0.186380,0.738351,0.899642,0.924731,0.989247,0.363667,0.265008,0.368138,0.556605,0.530660,0.143369,0.232975,0.691756,0.792115,0.327011,0.405395,0.337699,0.403545
sentence-transformers/LaBSE,reranked,BAAI/bge-reranker-v2-m3,279,0.175627,0.670251,0.774194,0.831541,0.892473,0.335825,0.244524,0.337489,0.496322,0.530552,0.128853,0.220520,0.618190,0.724014,0.295162,0.380898,0.302030,0.373591
google-bert/bert-base-multilingual-cased,baseline,-,279,0.146953,0.322581,0.473118,0.738351,0.903226,0.183850,0.124551,0.161480,0.217136,0.625658,0.107527,0.195430,0.277688,0.379928,0.147850,0.229595,0.132388,0.197024
google-bert/bert-base-german-cased,reranked,BAAI/bge-reranker-v2-m3,279,0.132616,0.179211,0.200717,0.200717,0.268817,0.145065,0.077180,0.099668,0.102065,0.508516,0.096774,0.173925,0.139785,0.224104,0.110369,0.185956,0.077412,0.126772
kforth/IfcMaterial2MP,baseline,-,279,0.118280,0.430108,0.652330,0.731183,0.845878,0.195945,0.136330,0.192930,0.293719,0.604948,0.080556,0.156004,0.370878,0.489337,0.155779,0.234594,0.160269,0.226010
kforth/IfcElement2ConstructionSets,reranked,BAAI/bge-reranker-v2-m3,279,0.096774,0.211470,0.243728,0.243728,0.448029,0.135245,0.071322,0.096182,0.105462,0.513189,0.068100,0.127330,0.164875,0.261649,0.099928,0.169198,0.069226,0.120903
