model,pipeline_variant,cross_encoder_model,cases,hit@1,hit@10,hit@20,hit@30,hit@50,mrr,map@10,ndcg@10,recall@10,avg_expected_score,hit@1_ci_low,hit@1_ci_high,hit@10_ci_low,hit@10_ci_high,mrr@10_ci_low,mrr@10_ci_high,ndcg@10_ci_low,ndcg@10_ci_high
BAAI/bge-m3,baseline,-,279,0.476703,0.749104,0.863799,0.892473,0.946237,0.573865,0.506902,0.569146,0.670703,0.546088,0.426523,0.534050,0.700627,0.799283,0.529345,0.627279,0.528589,0.618915
sentence-transformers/distiluse-base-multilingual-cased-v2,baseline,-,279,0.315412,0.731183,0.824373,0.849462,0.913978,0.453756,0.370275,0.463747,0.633581,0.685135,0.270520,0.365591,0.682706,0.779659,0.411299,0.501834,0.424197,0.506298
google/embeddinggemma-300m,baseline,-,279,0.283154,0.835125,0.870968,0.924731,0.989247,0.442221,0.394935,0.508759,0.772854,0.618903,0.236559,0.338799,0.788351,0.881900,0.407233,0.493421,0.474130,0.551670
intfloat/multilingual-e5-large,baseline,-,279,0.279570,0.810036,0.856631,0.892473,0.910394,0.445752,0.408150,0.496636,0.698609,0.856257,0.232796,0.333333,0.765143,0.858513,0.407167,0.495099,0.459787,0.541328
sentence-transformers/LaBSE,baseline,-,279,0.258065,0.598566,0.738351,0.831541,0.892473,0.372794,0.337757,0.402200,0.527522,0.543690,0.206004,0.315412,0.537634,0.655914,0.323789,0.421792,0.357458,0.447520
intfloat/multilingual-e5-base,baseline,-,279,0.211470,0.602151,0.784946,0.856631,0.888889,0.352156,0.299451,0.358020,0.471266,0.863418,0.166577,0.261649,0.548387,0.661380,0.309581,0.396964,0.318770,0.404386
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline,-,279,0.197133,0.387097,0.530466,0.663082,0.856631,0.243004,0.139809,0.184174,0.211410,0.511229,0.148656,0.243728,0.342204,0.451792,0.200293,0.289962,0.152715,0.216766
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,baseline,-,279,0.193548,0.372760,0.584229,0.698925,0.831541,0.237579,0.121900,0.168603,0.198583,0.562948,0.150538,0.240143,0.318996,0.435573,0.196959,0.283545,0.140853,0.201095
google-bert/bert-base-multilingual-cased,baseline,-,279,0.146953,0.322581,0.473118,0.738351,0.903226,0.183850,0.124551,0.161480,0.217136,0.625658,0.107527,0.195430,0.277688,0.379928,0.147850,0.229595,0.132388,0.197024
kforth/IfcMaterial2MP,baseline,-,279,0.118280,0.430108,0.652330,0.731183,0.845878,0.195945,0.136330,0.192930,0.293719,0.604948,0.080556,0.156004,0.370878,0.489337,0.155779,0.234594,0.160269,0.226010
google-bert/bert-base-multilingual-uncased,baseline,-,279,0.078853,0.394265,0.681004,0.763441,0.853047,0.167989,0.121194,0.174174,0.276489,0.697068,0.050179,0.109409,0.347670,0.449910,0.140322,0.201306,0.147009,0.204456
google-bert/bert-base-german-cased,baseline,-,279,0.017921,0.089606,0.168459,0.200717,0.268817,0.029435,0.016491,0.026879,0.043480,0.835563,0.003584,0.032258,0.057348,0.125448,0.015667,0.044916,0.016091,0.040215
kforth/IfcElement2ConstructionSets,baseline,-,279,0.007168,0.125448,0.193548,0.243728,0.448029,0.035532,0.016367,0.029928,0.047483,0.980017,0.000000,0.017921,0.082437,0.168459,0.020496,0.051241,0.017445,0.042655
