model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,0,IfcBeam S235,Stahlprofil blank,Stahlprofil blank,1,Heissbitumen,0.462090,61,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Heissbitumen | Gipsfaserplatte | Hartbeton einschichtig | Polyurethan PUR PIR | Hartbeton zweischichtig | Glasfaserbeton | Tiefbaubeton | Stahlblech verzinkt | Messing-/Baubronzeblech | Betonfertigteil hochfest,0.462090 | 0.438410 | 0.437189 | 0.430424 | 0.425599 | 0.424137 | 0.422867 | 0.415361 | 0.414971 | 0.414923
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,1,IfcBeam S355,Stahlprofil blank,Stahlprofil blank,1,Heissbitumen,0.443736,75,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Heissbitumen | Messing-/Baubronzeblech | Tiefbaubeton | Glasfaserbeton | Betonfertigteil hochfest | Polyurethan PUR PIR | Gipsfaserplatte | Polycarbonat PC | Bohrpfahlbeton | Magerbeton,0.443736 | 0.436316 | 0.435076 | 0.410803 | 0.410219 | 0.408056 | 0.403970 | 0.402127 | 0.401601 | 0.400179
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,2,IfcBeam S460,Stahlprofil blank,Stahlprofil blank,1,Gipsfaserplatte,0.476171,70,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gipsfaserplatte | Glasfaserbeton | Dichtungsbahn Polyolefin FPO | Heissbitumen | Polyurethan PUR PIR | Tiefbaubeton | Silicon-Fugenmasse | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Faserzementplatte | Hartbeton einschichtig,0.476171 | 0.467473 | 0.463719 | 0.455838 | 0.454182 | 0.437296 | 0.435492 | 0.425541 | 0.425371 | 0.419018
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,3,IfcBeam Beton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,3,Tiefbaubeton,0.601085,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.871079,0.722222,1.000000,Tiefbaubeton | Betonziegel | Betonfertigteil hochfest | Bohrpfahlbeton | Glasfaserbeton | Betonfertigteil normalfest | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Tiefgründung Vorgefertigter Betonpfahl,0.601085 | 0.558158 | 0.549316 | 0.539038 | 0.533705 | 0.530480 | 0.518632 | 0.515280 | 0.505563 | 0.479220
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,4,IfcBeam Beton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,2,Betonfertigteil hochfest,0.650527,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Betonfertigteil hochfest | Betonfertigteil normalfest | Betonziegel | Tiefbaubeton | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Bohrpfahlbeton | Dichtungsbahn bituminös,0.650527 | 0.629952 | 0.551199 | 0.535979 | 0.529970 | 0.514699 | 0.503149 | 0.492375 | 0.481669 | 0.474339
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,5,IfcBeam Beton INSITU,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.573336,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonziegel | Betonfertigteil hochfest | Betonfertigteil normalfest | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton einschichtig | Glasfaserbeton | Hartbeton zweischichtig | Magerbeton,0.573336 | 0.536854 | 0.529152 | 0.515947 | 0.512793 | 0.503733 | 0.503512 | 0.499855 | 0.495615 | 0.478065
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,6,IfcBeam Beton Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.560602,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Hartbeton einschichtig | Bohrpfahlbeton | Betonfertigteil hochfest | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Magerbeton | Hartbeton zweischichtig | Betonfertigteil normalfest | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900,0.560602 | 0.535301 | 0.527171 | 0.525254 | 0.517318 | 0.514530 | 0.510362 | 0.505938 | 0.501487 | 0.497953
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,7,IfcBeam Beton PRECAST,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,2,Tiefbaubeton,0.547854,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.650921,0.500000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil normalfest | Glasfaserbeton | Bohrpfahlbeton | Hartbeton zweischichtig | Betonziegel | Hartbeton einschichtig | Magerbeton,0.547854 | 0.509607 | 0.495549 | 0.484216 | 0.477577 | 0.474133 | 0.470438 | 0.469909 | 0.467910 | 0.458846
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,8,IfcBeam Beton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,2,Tiefbaubeton,0.528776,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Betonziegel | Bohrpfahlbeton | Hartbeton einschichtig | Messing-/Baubronzeblech | Hartbeton zweischichtig | Magerbeton | Glasfaserbeton,0.528776 | 0.526082 | 0.525457 | 0.501859 | 0.489024 | 0.488228 | 0.482132 | 0.479101 | 0.475709 | 0.468453
/mnt/nas05/data01/kbob-ai-matcher/models/bge-m3,baseline,-,9,IfcBeam Beton C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Betonfertigteil normalfest,0.582162,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Betonfertigteil normalfest | Betonfertigteil hochfest | Betonziegel | Tiefbaubeton | Tiefgründung Vorgefertigter Betonpfahl | Dichtungsbahn bituminös | Messing-/Baubronzeblech | Hartbeton einschichtig | Hartbeton zweischichtig | Dichtungsbahn Polyolefin FPO,0.582162 | 0.577996 | 0.505022 | 0.491914 | 0.488691 | 0.483407 | 0.479671 | 0.479140 | 0.473369 | 0.473291
