model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
BAAI/bge-m3,baseline,-,0,IfcBeam S235,Stahlprofil blank,Stahlprofil blank,1,Heissbitumen,0.731045,61,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Heissbitumen | Gipsfaserplatte | Hartbeton einschichtig | Polyurethan PUR PIR | Hartbeton zweischichtig | Glasfaserbeton | Tiefbaubeton | Stahlblech verzinkt | Messing-/Baubronzeblech | Betonfertigteil hochfest,0.731045 | 0.719205 | 0.718594 | 0.715212 | 0.712799 | 0.712068 | 0.711433 | 0.707680 | 0.707485 | 0.707462
BAAI/bge-m3,baseline,-,1,IfcBeam S355,Stahlprofil blank,Stahlprofil blank,1,Heissbitumen,0.721868,75,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Heissbitumen | Messing-/Baubronzeblech | Tiefbaubeton | Glasfaserbeton | Betonfertigteil hochfest | Polyurethan PUR PIR | Gipsfaserplatte | Polycarbonat PC | Bohrpfahlbeton | Magerbeton,0.721868 | 0.718158 | 0.717538 | 0.705401 | 0.705109 | 0.704028 | 0.701985 | 0.701063 | 0.700800 | 0.700090
BAAI/bge-m3,baseline,-,2,IfcBeam S460,Stahlprofil blank,Stahlprofil blank,1,Gipsfaserplatte,0.738085,70,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Gipsfaserplatte | Glasfaserbeton | Dichtungsbahn Polyolefin FPO | Heissbitumen | Polyurethan PUR PIR | Tiefbaubeton | Silicon-Fugenmasse | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Faserzementplatte | Hartbeton einschichtig,0.738085 | 0.733736 | 0.731859 | 0.727919 | 0.727091 | 0.718648 | 0.717746 | 0.712770 | 0.712685 | 0.709509
BAAI/bge-m3,baseline,-,3,IfcBeam Beton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,3,Tiefbaubeton,0.800543,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.871079,0.722222,1.000000,Tiefbaubeton | Betonziegel | Betonfertigteil hochfest | Bohrpfahlbeton | Glasfaserbeton | Betonfertigteil normalfest | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Tiefgründung Vorgefertigter Betonpfahl,0.800543 | 0.779079 | 0.774658 | 0.769519 | 0.766853 | 0.765240 | 0.759316 | 0.757640 | 0.752782 | 0.739610
BAAI/bge-m3,baseline,-,4,IfcBeam Beton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,2,Betonfertigteil hochfest,0.825264,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Betonfertigteil hochfest | Betonfertigteil normalfest | Betonziegel | Tiefbaubeton | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Bohrpfahlbeton | Dichtungsbahn bituminös,0.825264 | 0.814976 | 0.775599 | 0.767989 | 0.764985 | 0.757349 | 0.751574 | 0.746187 | 0.740834 | 0.737169
BAAI/bge-m3,baseline,-,5,IfcBeam Beton INSITU,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.786668,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonziegel | Betonfertigteil hochfest | Betonfertigteil normalfest | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton einschichtig | Glasfaserbeton | Hartbeton zweischichtig | Magerbeton,0.786668 | 0.768427 | 0.764576 | 0.757973 | 0.756397 | 0.751867 | 0.751756 | 0.749928 | 0.747808 | 0.739032
BAAI/bge-m3,baseline,-,6,IfcBeam Beton Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.780301,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Hartbeton einschichtig | Bohrpfahlbeton | Betonfertigteil hochfest | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Magerbeton | Hartbeton zweischichtig | Betonfertigteil normalfest | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900,0.780301 | 0.767650 | 0.763586 | 0.762627 | 0.758659 | 0.757265 | 0.755181 | 0.752969 | 0.750744 | 0.748977
BAAI/bge-m3,baseline,-,7,IfcBeam Beton PRECAST,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,2,Tiefbaubeton,0.773927,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.650921,0.500000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil normalfest | Glasfaserbeton | Bohrpfahlbeton | Hartbeton zweischichtig | Betonziegel | Hartbeton einschichtig | Magerbeton,0.773927 | 0.754803 | 0.747774 | 0.742108 | 0.738788 | 0.737067 | 0.735219 | 0.734955 | 0.733955 | 0.729423
BAAI/bge-m3,baseline,-,8,IfcBeam Beton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,2,Tiefbaubeton,0.764388,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Betonziegel | Bohrpfahlbeton | Hartbeton einschichtig | Messing-/Baubronzeblech | Hartbeton zweischichtig | Magerbeton | Glasfaserbeton,0.764388 | 0.763041 | 0.762728 | 0.750929 | 0.744512 | 0.744114 | 0.741066 | 0.739550 | 0.737855 | 0.734227
BAAI/bge-m3,baseline,-,9,IfcBeam Beton C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Betonfertigteil normalfest,0.791081,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Betonfertigteil normalfest | Betonfertigteil hochfest | Betonziegel | Tiefbaubeton | Tiefgründung Vorgefertigter Betonpfahl | Dichtungsbahn bituminös | Messing-/Baubronzeblech | Hartbeton einschichtig | Hartbeton zweischichtig | Dichtungsbahn Polyolefin FPO,0.791081 | 0.788998 | 0.752511 | 0.745957 | 0.744345 | 0.741703 | 0.739836 | 0.739570 | 0.736684 | 0.736646
