model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
BAAI/bge-m3,baseline,-,0,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.661006,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Magerbeton | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 700,0.661006 | 0.623481 | 0.611924 | 0.605178 | 0.605156 | 0.583084 | 0.580579 | 0.575626 | 0.569242 | 0.530348
BAAI/bge-m3,baseline,-,1,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.661006,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Magerbeton | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 700,0.661006 | 0.623482 | 0.611924 | 0.605178 | 0.605156 | 0.583084 | 0.580579 | 0.575626 | 0.569242 | 0.530348
BAAI/bge-m3,baseline,-,2,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.661006,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Magerbeton | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 700,0.661006 | 0.623481 | 0.611924 | 0.605178 | 0.605156 | 0.583084 | 0.580579 | 0.575626 | 0.569242 | 0.530348
BAAI/bge-m3,baseline,-,3,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.655621,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
BAAI/bge-m3,baseline,-,4,IfcBeam Beton C30/37,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Betonfertigteil hochfest,0.655621,3,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
BAAI/bge-m3,baseline,-,5,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.655621,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
BAAI/bge-m3,baseline,-,6,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.655621,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
BAAI/bge-m3,baseline,-,7,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.655621,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
BAAI/bge-m3,baseline,-,8,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.655621,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
BAAI/bge-m3,baseline,-,9,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.655621,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
BAAI/bge-m3,baseline,-,10,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.655621,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
BAAI/bge-m3,baseline,-,11,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.655621,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
BAAI/bge-m3,baseline,-,12,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil hochfest,0.655621,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil hochfest | Tiefbaubeton | Betonfertigteil normalfest | Betonziegel | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700,0.655621 | 0.653568 | 0.647773 | 0.622744 | 0.614783 | 0.594893 | 0.582890 | 0.571318 | 0.552877 | 0.522648
