model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,0,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.640048,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.640048 | 0.618885 | 0.602147 | 0.579014 | 0.578675 | 0.550532 | 0.547174 | 0.531519 | 0.474689 | 0.441615
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,1,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.640049,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.640049 | 0.618885 | 0.602147 | 0.579014 | 0.578675 | 0.550532 | 0.547174 | 0.531519 | 0.474689 | 0.441615
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,2,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.640048,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.640048 | 0.618885 | 0.602147 | 0.579014 | 0.578675 | 0.550532 | 0.547174 | 0.531519 | 0.474689 | 0.441615
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,3,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,4,IfcBeam Beton C30/37,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Betonfertigteil normalfest,0.640944,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,5,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,6,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,7,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,8,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,9,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,10,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,11,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,12,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,13,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.640944,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Hartbeton einschichtig | Betonziegel | Glasfaserbeton | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700,0.640944 | 0.639047 | 0.628637 | 0.586156 | 0.577744 | 0.564464 | 0.547293 | 0.516196 | 0.475128 | 0.442984
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,14,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.548907,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Stahlprofil blank | Chromstahlblech verzinnt | Blei | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Chromstahlblech blank | Aluminiumblech blank | Polyurethan PUR PIR,0.548907 | 0.494100 | 0.460435 | 0.407827 | 0.404985 | 0.400883 | 0.384609 | 0.380408 | 0.371971 | 0.366168
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,15,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.744073,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Stahlprofil blank | Armierungsstahl | Chromstahlblech verzinnt | Chromstahlblech blank | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Blei | Aluminiumblech blank,0.744073 | 0.723980 | 0.688097 | 0.643985 | 0.578852 | 0.578644 | 0.566472 | 0.561276 | 0.414976 | 0.406707
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,16,IfcBearing Elastomer,Dichtungsbahn Gummi EPDM,Dichtungsbahn Gummi EPDM,1,Dichtungsbahn Gummi EPDM,0.526563,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Dichtungsbahn Gummi EPDM | Polyethylenvlies PE | Polyethylen PE | Polystyrol expandiert EPS | Polyester UP glasfaserverstärkt | Acrylnitril-Butadien-Styrol ABS | Dichtungsbahn Polyolefin FPO | Polyethylenfolie PE | Polycarbonat PC | Polystyrol PS,0.526563 | 0.490844 | 0.480586 | 0.471418 | 0.442603 | 0.442460 | 0.431578 | 0.429963 | 0.413676 | 0.404920
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,17,IfcBearing Elastomer,Dichtungsbahn Gummi EPDM,Dichtungsbahn Gummi EPDM,1,Dichtungsbahn Gummi EPDM,0.526563,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Dichtungsbahn Gummi EPDM | Polyethylenvlies PE | Polyethylen PE | Polystyrol expandiert EPS | Polyester UP glasfaserverstärkt | Acrylnitril-Butadien-Styrol ABS | Dichtungsbahn Polyolefin FPO | Polyethylenfolie PE | Polycarbonat PC | Polystyrol PS,0.526563 | 0.490844 | 0.480586 | 0.471418 | 0.442603 | 0.442460 | 0.431578 | 0.429963 | 0.413676 | 0.404920
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,18,IfcBearing PTFE,Polyethylen PE,Polyethylen PE,1,Polyethylenfolie PE,0.628116,3,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Polyethylenfolie PE | Polyethylenvlies PE | Polyethylen PE | Polycarbonat PC | Polypropylen PP | Polyester UP glasfaserverstärkt | Dichtungsbahn Polyolefin FPO | Polyvinylchlorid PVC | Polystyrol PS | Polyurethan PUR PIR,0.628116 | 0.617485 | 0.609824 | 0.533573 | 0.505259 | 0.501228 | 0.495034 | 0.472562 | 0.460261 | 0.459638
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,19,IfcBearing Polytetrafluoroethylene,Polyethylen PE,Polyethylen PE,1,Polyethylen PE,0.739245,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Polyethylen PE | Polyethylenvlies PE | Polyethylenfolie PE | Polypropylen PP | Polyester UP glasfaserverstärkt | Dichtungsbahn Polyolefin FPO | Polystyrol PS | Polycarbonat PC | Polyvinylchlorid PVC | Polystyrol expandiert EPS,0.739245 | 0.722715 | 0.700216 | 0.642635 | 0.590317 | 0.589115 | 0.582786 | 0.574216 | 0.571177 | 0.560938
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,20,IfcBearing Teflon,Polyethylen PE,Polyethylen PE,1,Polyethylenvlies PE,0.568302,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Polyethylenvlies PE | Polyethylen PE | Polyethylenfolie PE | Polyester UP glasfaserverstärkt | Dichtungsbahn Polyolefin FPO | Polypropylen PP | Acrylnitril-Butadien-Styrol ABS | Dichtungsbahn Gummi EPDM | Polyvinylchlorid PVC | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich,0.568302 | 0.552748 | 0.542460 | 0.533019 | 0.498247 | 0.495137 | 0.470715 | 0.467389 | 0.454336 | 0.449185
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,21,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.548907,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Stahlprofil blank | Chromstahlblech verzinnt | Blei | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Chromstahlblech blank | Aluminiumblech blank | Polyurethan PUR PIR,0.548907 | 0.494100 | 0.460435 | 0.407827 | 0.404985 | 0.400883 | 0.384609 | 0.380408 | 0.371971 | 0.366168
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,22,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.744073,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Stahlprofil blank | Armierungsstahl | Chromstahlblech verzinnt | Chromstahlblech blank | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Blei | Aluminiumblech blank,0.744073 | 0.723980 | 0.688097 | 0.643985 | 0.578852 | 0.578644 | 0.566472 | 0.561276 | 0.414976 | 0.406707
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,23,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.548907,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Stahlprofil blank | Chromstahlblech verzinnt | Blei | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Chromstahlblech blank | Aluminiumblech blank | Polyurethan PUR PIR,0.548907 | 0.494100 | 0.460435 | 0.407827 | 0.404985 | 0.400883 | 0.384609 | 0.380408 | 0.371971 | 0.366168
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,24,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.744073,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Stahlprofil blank | Armierungsstahl | Chromstahlblech verzinnt | Chromstahlblech blank | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Blei | Aluminiumblech blank,0.744073 | 0.723980 | 0.688097 | 0.643985 | 0.578852 | 0.578644 | 0.566472 | 0.561276 | 0.414976 | 0.406707
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,25,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.548907,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Stahlprofil blank | Chromstahlblech verzinnt | Blei | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Chromstahlblech blank | Aluminiumblech blank | Polyurethan PUR PIR,0.548907 | 0.494100 | 0.460435 | 0.407827 | 0.404985 | 0.400883 | 0.384609 | 0.380408 | 0.371971 | 0.366168
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,26,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.744073,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Stahlprofil blank | Armierungsstahl | Chromstahlblech verzinnt | Chromstahlblech blank | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Blei | Aluminiumblech blank,0.744073 | 0.723980 | 0.688097 | 0.643985 | 0.578852 | 0.578644 | 0.566472 | 0.561276 | 0.414976 | 0.406707
Training/artifacts/models/bge-m3-finetuned-ifcentity-material-strength-3-epochs,baseline,-,27,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech verzinkt,0.548907,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Stahlblech verzinkt | Stahlblech blank | Stahlprofil blank | Chromstahlblech verzinnt | Blei | Chromnickelstahlblech verzinnt | Chromnickelstahlblech blank | Chromstahlblech blank | Aluminiumblech blank | Polyurethan PUR PIR,0.548907 | 0.494100 | 0.460435 | 0.407827 | 0.404985 | 0.400883 | 0.384609 | 0.380408 | 0.371971 | 0.366168
