model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,0,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.577937,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Baukleber Einbettmörtel mineralisch | Dichtungsbahn Gummi EPDM,0.577937 | 0.525897 | 0.516623 | 0.433078 | 0.423364 | 0.421006 | 0.355286 | 0.314168 | 0.287484 | 0.271219
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,1,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.577937,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Baukleber Einbettmörtel mineralisch | Dichtungsbahn Gummi EPDM,0.577937 | 0.525897 | 0.516623 | 0.433078 | 0.423364 | 0.421006 | 0.355286 | 0.314168 | 0.287484 | 0.271220
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,2,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.577937,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Baukleber Einbettmörtel mineralisch | Dichtungsbahn Gummi EPDM,0.577937 | 0.525897 | 0.516623 | 0.433078 | 0.423364 | 0.421006 | 0.355286 | 0.314168 | 0.287484 | 0.271219
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,3,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.646892,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz | Bohrpfahlbeton | Betonfertigteil hochfest | Baukleber Einbettmörtel mineralisch,0.646892 | 0.578511 | 0.527120 | 0.491635 | 0.466764 | 0.386696 | 0.377462 | 0.362434 | 0.323953 | 0.289339
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,4,IfcBeam Beton C30/37,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Tiefbaubeton,0.646892,6,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz | Bohrpfahlbeton | Betonfertigteil hochfest | Baukleber Einbettmörtel mineralisch,0.646892 | 0.578511 | 0.527120 | 0.491635 | 0.466764 | 0.386696 | 0.377462 | 0.362434 | 0.323953 | 0.289339
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,5,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.646892,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz | Bohrpfahlbeton | Betonfertigteil hochfest | Baukleber Einbettmörtel mineralisch,0.646892 | 0.578511 | 0.527120 | 0.491635 | 0.466764 | 0.386696 | 0.377462 | 0.362434 | 0.323953 | 0.289339
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,6,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.646892,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz | Bohrpfahlbeton | Betonfertigteil hochfest | Baukleber Einbettmörtel mineralisch,0.646892 | 0.578511 | 0.527120 | 0.491635 | 0.466764 | 0.386696 | 0.377462 | 0.362434 | 0.323953 | 0.289339
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,7,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.646892,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz | Bohrpfahlbeton | Betonfertigteil hochfest | Baukleber Einbettmörtel mineralisch,0.646892 | 0.578511 | 0.527120 | 0.491635 | 0.466764 | 0.386696 | 0.377462 | 0.362434 | 0.323953 | 0.289339
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,8,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.646892,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz | Bohrpfahlbeton | Betonfertigteil hochfest | Baukleber Einbettmörtel mineralisch,0.646892 | 0.578511 | 0.527120 | 0.491635 | 0.466764 | 0.386696 | 0.377462 | 0.362434 | 0.323953 | 0.289339
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,9,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.646892,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz | Bohrpfahlbeton | Betonfertigteil hochfest | Baukleber Einbettmörtel mineralisch,0.646892 | 0.578511 | 0.527120 | 0.491635 | 0.466764 | 0.386696 | 0.377462 | 0.362434 | 0.323953 | 0.289339
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,10,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.646892,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz | Bohrpfahlbeton | Betonfertigteil hochfest | Baukleber Einbettmörtel mineralisch,0.646892 | 0.578511 | 0.527119 | 0.491635 | 0.466764 | 0.386696 | 0.377461 | 0.362433 | 0.323953 | 0.289339
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure,baseline,-,11,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.646892,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz | Bohrpfahlbeton | Betonfertigteil hochfest | Baukleber Einbettmörtel mineralisch,0.646892 | 0.578511 | 0.527120 | 0.491635 | 0.466764 | 0.386696 | 0.377462 | 0.362434 | 0.323953 | 0.289339
