model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,0,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.559004,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Hartbeton zweischichtig | Betonfertigteil normalfest | Betonziegel | 2K-Fliessbelag Epoxidharz | Betonfertigteil hochfest,0.559004 | 0.531900 | 0.524548 | 0.515697 | 0.513586 | 0.503321 | 0.431743 | 0.423739 | 0.406391 | 0.404484
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,1,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.559005,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Hartbeton zweischichtig | Betonfertigteil normalfest | Betonziegel | 2K-Fliessbelag Epoxidharz | Betonfertigteil hochfest,0.559005 | 0.531900 | 0.524549 | 0.515698 | 0.513586 | 0.503321 | 0.431743 | 0.423739 | 0.406391 | 0.404484
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,2,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.559004,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Hartbeton zweischichtig | Betonfertigteil normalfest | Betonziegel | 2K-Fliessbelag Epoxidharz | Betonfertigteil hochfest,0.559004 | 0.531900 | 0.524548 | 0.515697 | 0.513586 | 0.503321 | 0.431743 | 0.423739 | 0.406391 | 0.404484
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,3,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.607539,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Bohrpfahlbeton | Betonfertigteil normalfest | Betonziegel | Betonfertigteil hochfest | 2K-Fliessbelag Epoxidharz,0.607539 | 0.542284 | 0.539644 | 0.536687 | 0.521118 | 0.515098 | 0.473926 | 0.467992 | 0.458400 | 0.404738
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,4,IfcBeam Beton C30/37,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Tiefbaubeton,0.607539,7,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Tiefbaubeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Bohrpfahlbeton | Betonfertigteil normalfest | Betonziegel | Betonfertigteil hochfest | 2K-Fliessbelag Epoxidharz,0.607539 | 0.542284 | 0.539644 | 0.536687 | 0.521118 | 0.515098 | 0.473926 | 0.467992 | 0.458400 | 0.404738
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,5,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.607539,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Bohrpfahlbeton | Betonfertigteil normalfest | Betonziegel | Betonfertigteil hochfest | 2K-Fliessbelag Epoxidharz,0.607539 | 0.542284 | 0.539644 | 0.536687 | 0.521118 | 0.515098 | 0.473926 | 0.467992 | 0.458400 | 0.404738
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,6,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.607539,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Bohrpfahlbeton | Betonfertigteil normalfest | Betonziegel | Betonfertigteil hochfest | 2K-Fliessbelag Epoxidharz,0.607539 | 0.542284 | 0.539644 | 0.536687 | 0.521118 | 0.515098 | 0.473926 | 0.467992 | 0.458400 | 0.404738
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,7,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.607539,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Bohrpfahlbeton | Betonfertigteil normalfest | Betonziegel | Betonfertigteil hochfest | 2K-Fliessbelag Epoxidharz,0.607539 | 0.542284 | 0.539644 | 0.536687 | 0.521118 | 0.515098 | 0.473926 | 0.467992 | 0.458400 | 0.404738
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,8,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.607539,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Bohrpfahlbeton | Betonfertigteil normalfest | Betonziegel | Betonfertigteil hochfest | 2K-Fliessbelag Epoxidharz,0.607539 | 0.542284 | 0.539644 | 0.536687 | 0.521118 | 0.515098 | 0.473926 | 0.467992 | 0.458400 | 0.404738
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-01,baseline,-,9,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.607539,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Glasfaserbeton | Bohrpfahlbeton | Betonfertigteil normalfest | Betonziegel | Betonfertigteil hochfest | 2K-Fliessbelag Epoxidharz,0.607539 | 0.542284 | 0.539644 | 0.536687 | 0.521118 | 0.515098 | 0.473926 | 0.467992 | 0.458400 | 0.404738
