model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,0,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Glasfaserbeton,0.585755,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Glasfaserbeton | Tiefbaubeton | Magerbeton | Bohrpfahlbeton | Hartbeton zweischichtig | Hartbeton einschichtig | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Dichtungsbahn Gummi EPDM | Baukleber Einbettmörtel mineralisch,0.585755 | 0.585634 | 0.539847 | 0.520658 | 0.474280 | 0.473364 | 0.380462 | 0.302579 | 0.299462 | 0.290602
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,1,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Glasfaserbeton,0.585755,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Glasfaserbeton | Tiefbaubeton | Magerbeton | Bohrpfahlbeton | Hartbeton zweischichtig | Hartbeton einschichtig | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Dichtungsbahn Gummi EPDM | Baukleber Einbettmörtel mineralisch,0.585755 | 0.585634 | 0.539847 | 0.520658 | 0.474280 | 0.473364 | 0.380462 | 0.302579 | 0.299462 | 0.290602
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,2,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Glasfaserbeton,0.585755,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Glasfaserbeton | Tiefbaubeton | Magerbeton | Bohrpfahlbeton | Hartbeton zweischichtig | Hartbeton einschichtig | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Dichtungsbahn Gummi EPDM | Baukleber Einbettmörtel mineralisch,0.585755 | 0.585634 | 0.539847 | 0.520658 | 0.474280 | 0.473364 | 0.380462 | 0.302579 | 0.299462 | 0.290602
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,3,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.706266,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Heissbitumen,0.706266 | 0.620179 | 0.615888 | 0.554683 | 0.544333 | 0.503936 | 0.408571 | 0.369189 | 0.309301 | 0.300658
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,4,IfcBeam Beton C30/37,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Tiefbaubeton,0.706266,8,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.125000,0.315465,0.125000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Heissbitumen,0.706266 | 0.620179 | 0.615888 | 0.554683 | 0.544333 | 0.503936 | 0.408571 | 0.369189 | 0.309301 | 0.300658
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,5,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.706266,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Heissbitumen,0.706266 | 0.620179 | 0.615888 | 0.554683 | 0.544333 | 0.503936 | 0.408571 | 0.369189 | 0.309301 | 0.300658
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,6,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.706266,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Heissbitumen,0.706266 | 0.620179 | 0.615888 | 0.554683 | 0.544333 | 0.503936 | 0.408571 | 0.369189 | 0.309301 | 0.300658
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,7,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.706266,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Heissbitumen,0.706266 | 0.620179 | 0.615888 | 0.554683 | 0.544333 | 0.503936 | 0.408571 | 0.369189 | 0.309301 | 0.300658
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,8,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.706266,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Heissbitumen,0.706266 | 0.620179 | 0.615888 | 0.554683 | 0.544333 | 0.503936 | 0.408571 | 0.369189 | 0.309301 | 0.300658
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-03,baseline,-,9,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.706266,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Magerbeton | Glasfaserbeton | Hartbeton zweischichtig | Hartbeton einschichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Heissbitumen,0.706266 | 0.620179 | 0.615888 | 0.554683 | 0.544333 | 0.503936 | 0.408571 | 0.369189 | 0.309301 | 0.300658
