index,entity,predefined_type,material,strength,exposure,diameter,casting_method,query,dedupe_key
1,IfcBeam,,,S235,,,,IfcBeam S235,IfcBeam S235
2,IfcBeam,,,S355,,,,IfcBeam S355,IfcBeam S355
3,IfcBeam,,,S460,,,,IfcBeam S460,IfcBeam S460
4,IfcBeam,,Beton,,,,,IfcBeam Beton,IfcBeam Beton
5,IfcBeam,,Beton,,,,Fertigteil,IfcBeam Beton Fertigteil,IfcBeam Beton Fertigteil
6,IfcBeam,,Beton,,,,INSITU,IfcBeam Beton INSITU,IfcBeam Beton INSITU
7,IfcBeam,,Beton,,,,Ortbeton,IfcBeam Beton Ortbeton,IfcBeam Beton Ortbeton
8,IfcBeam,,Beton,,,,PRECAST,IfcBeam Beton PRECAST,IfcBeam Beton PRECAST
9,IfcBeam,,Beton,C20/25,,,,IfcBeam Beton C20/25,IfcBeam Beton C20/25
10,IfcBeam,,Beton,C20/25,,,Fertigteil,IfcBeam Beton C20/25 Fertigteil,IfcBeam Beton C20/25 Fertigteil
11,IfcBeam,,Beton,C20/25,,,Ortbeton,IfcBeam Beton C20/25 Ortbeton,IfcBeam Beton C20/25 Ortbeton
12,IfcBeam,,Beton,C25/30,,,,IfcBeam Beton C25/30,IfcBeam Beton C25/30
13,IfcBeam,,Beton,C25/30,,,Fertigteil,IfcBeam Beton C25/30 Fertigteil,IfcBeam Beton C25/30 Fertigteil
14,IfcBeam,,Beton,C25/30,,,Ortbeton,IfcBeam Beton C25/30 Ortbeton,IfcBeam Beton C25/30 Ortbeton
15,IfcBeam,,Beton,C30/37,,,,IfcBeam Beton C30/37,IfcBeam Beton C30/37
16,IfcBeam,,Beton,C30/37,,,INSITU,IfcBeam Beton C30/37 INSITU,IfcBeam Beton C30/37 INSITU
17,IfcBeam,,Beton,C30/37,,,PRECAST,IfcBeam Beton C30/37 PRECAST,IfcBeam Beton C30/37 PRECAST
18,IfcBeam,,Beton,C35/45,,,,IfcBeam Beton C35/45,IfcBeam Beton C35/45
19,IfcBeam,,Beton,C35/45,,,INSITU,IfcBeam Beton C35/45 INSITU,IfcBeam Beton C35/45 INSITU
20,IfcBeam,,Beton,C35/45,,,PRECAST,IfcBeam Beton C35/45 PRECAST,IfcBeam Beton C35/45 PRECAST
21,IfcBeam,,Beton,C40/50,,,,IfcBeam Beton C40/50,IfcBeam Beton C40/50
22,IfcBeam,,Beton,C40/50,,,Fertigteil,IfcBeam Beton C40/50 Fertigteil,IfcBeam Beton C40/50 Fertigteil
23,IfcBeam,,Beton,C40/50,,,INSITU,IfcBeam Beton C40/50 INSITU,IfcBeam Beton C40/50 INSITU
24,IfcBeam,,Beton NPK D,,,,,IfcBeam Beton NPK D,IfcBeam Beton NPK D
25,IfcBeam,,Beton NPK D,C20/25,,,Ortbeton,IfcBeam Beton NPK D C20/25 Ortbeton,IfcBeam Beton NPK D C20/25 Ortbeton
26,IfcBeam,,Beton NPK D,C40/50,,,INSITU,IfcBeam Beton NPK D C40/50 INSITU,IfcBeam Beton NPK D C40/50 INSITU
27,IfcBeam,,Beton NPK E,,,,,IfcBeam Beton NPK E,IfcBeam Beton NPK E
28,IfcBeam,,Beton NPK E,C25/30,,,Ortbeton,IfcBeam Beton NPK E C25/30 Ortbeton,IfcBeam Beton NPK E C25/30 Ortbeton
29,IfcBeam,,Beton NPK E,C30/37,,,PRECAST,IfcBeam Beton NPK E C30/37 PRECAST,IfcBeam Beton NPK E C30/37 PRECAST
30,IfcBeam,,Beton NPK F,,,,,IfcBeam Beton NPK F,IfcBeam Beton NPK F
31,IfcBeam,,Beton NPK F,C20/25,,,Fertigteil,IfcBeam Beton NPK F C20/25 Fertigteil,IfcBeam Beton NPK F C20/25 Fertigteil
32,IfcBeam,,Beton NPK F,C30/37,,,INSITU,IfcBeam Beton NPK F C30/37 INSITU,IfcBeam Beton NPK F C30/37 INSITU
33,IfcBeam,,Beton NPK F,C35/45,,,INSITU,IfcBeam Beton NPK F C35/45 INSITU,IfcBeam Beton NPK F C35/45 INSITU
34,IfcBeam,,Beton NPK F,C40/50,,,Fertigteil,IfcBeam Beton NPK F C40/50 Fertigteil,IfcBeam Beton NPK F C40/50 Fertigteil
35,IfcBeam,,Beton NPK G,,,,,IfcBeam Beton NPK G,IfcBeam Beton NPK G
36,IfcBeam,,Beton NPK G,C25/30,,,Fertigteil,IfcBeam Beton NPK G C25/30 Fertigteil,IfcBeam Beton NPK G C25/30 Fertigteil
37,IfcBeam,,Beton NPK G,C35/45,,,PRECAST,IfcBeam Beton NPK G C35/45 PRECAST,IfcBeam Beton NPK G C35/45 PRECAST
38,IfcBeam,,Buche,,,,,IfcBeam Buche,IfcBeam Buche
39,IfcBeam,,Eiche,,,,,IfcBeam Eiche,IfcBeam Eiche
40,IfcBeam,,Fichte,,,,,IfcBeam Fichte,IfcBeam Fichte
41,IfcBeam,,Holz,,,,,IfcBeam Holz,IfcBeam Holz
42,IfcBeam,,Lärche,,,,,IfcBeam Lärche,IfcBeam Lärche
43,IfcBeam,,Stahl,,,,,IfcBeam Stahl,IfcBeam Stahl
44,IfcBeam,,Stahl,S235,,,,IfcBeam Stahl S235,IfcBeam Stahl S235
45,IfcBeam,,Stahl,S235J0,,,,IfcBeam Stahl S235J0,IfcBeam Stahl S235J0
46,IfcBeam,,Stahl,S235JR,,,,IfcBeam Stahl S235JR,IfcBeam Stahl S235JR
47,IfcBeam,,Stahl,S355,,,,IfcBeam Stahl S355,IfcBeam Stahl S355
48,IfcBeam,,Stahl,S355J0,,,,IfcBeam Stahl S355J0,IfcBeam Stahl S355J0
49,IfcBeam,,Stahl,S355JR,,,,IfcBeam Stahl S355JR,IfcBeam Stahl S355JR
50,IfcBeam,,Stahl,S460,,,,IfcBeam Stahl S460,IfcBeam Stahl S460
51,IfcBeam,,Stahlbeton,,,,,IfcBeam Stahlbeton,IfcBeam Stahlbeton
52,IfcBeam,,Stahlbeton,,,,Fertigteil,IfcBeam Stahlbeton Fertigteil,IfcBeam Stahlbeton Fertigteil
53,IfcBeam,,Stahlbeton,,,,INSITU,IfcBeam Stahlbeton INSITU,IfcBeam Stahlbeton INSITU
54,IfcBeam,,Stahlbeton,,,,Ortbeton,IfcBeam Stahlbeton Ortbeton,IfcBeam Stahlbeton Ortbeton
55,IfcBeam,,Stahlbeton,,,,PRECAST,IfcBeam Stahlbeton PRECAST,IfcBeam Stahlbeton PRECAST
56,IfcBeam,,Stahlbeton,C20/25,,,,IfcBeam Stahlbeton C20/25,IfcBeam Stahlbeton C20/25
57,IfcBeam,,Stahlbeton,C20/25,,,Fertigteil,IfcBeam Stahlbeton C20/25 Fertigteil,IfcBeam Stahlbeton C20/25 Fertigteil
58,IfcBeam,,Stahlbeton,C20/25,,,Ortbeton,IfcBeam Stahlbeton C20/25 Ortbeton,IfcBeam Stahlbeton C20/25 Ortbeton
