line_number,query,baseline_mapping,new_mapping,change_state,mapping_state
1,IfcBeam S235,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
2,IfcBeam S355,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
3,IfcBeam S460,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
4,IfcBeam Beton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
5,IfcBeam Beton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
6,IfcBeam Beton INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
7,IfcBeam Beton Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
8,IfcBeam Beton PRECAST,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
9,IfcBeam Beton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
10,IfcBeam Beton C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
11,IfcBeam Beton C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
12,IfcBeam Beton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
13,IfcBeam Beton C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
14,IfcBeam Beton C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
15,IfcBeam Beton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
16,IfcBeam Beton C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
17,IfcBeam Beton C30/37 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
18,IfcBeam Beton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
19,IfcBeam Beton C35/45 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
20,IfcBeam Beton C35/45 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
