"row_id","query","mapping","targets_per_query","is_multi_target","entity","predefined_type","contains_npk","contains_precast","contains_insitu","contains_ortbeton","contains_fertigteil"
"1","IfcBeam S235","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"2","IfcBeam S355","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"3","IfcBeam S460","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"4","IfcBeam Beton","Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest","3","True","IfcBeam","","False","False","False","False","False"
"5","IfcBeam Beton Fertigteil","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","","False","False","False","False","True"
"6","IfcBeam Beton INSITU","Tiefbaubeton","1","False","IfcBeam","","False","False","True","False","False"
"7","IfcBeam Beton Ortbeton","Tiefbaubeton","1","False","IfcBeam","","False","False","False","True","False"
"8","IfcBeam Beton PRECAST","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","","False","True","False","False","False"
"9","IfcBeam Beton C20/25","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","","False","False","False","False","False"
"10","IfcBeam Beton C20/25 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","","False","False","False","False","True"
"11","IfcBeam Beton C20/25 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","False","False","False","True","False"
"12","IfcBeam Beton C25/30","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","","False","False","False","False","False"
"13","IfcBeam Beton C25/30 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","","False","False","False","False","True"
"14","IfcBeam Beton C25/30 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","False","False","False","True","False"
"15","IfcBeam Beton C30/37","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","","False","False","False","False","False"
"16","IfcBeam Beton C30/37 INSITU","Tiefbaubeton","1","False","IfcBeam","","False","False","True","False","False"
"17","IfcBeam Beton C30/37 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","","False","True","False","False","False"
"18","IfcBeam Beton C35/45","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","","False","False","False","False","False"
"19","IfcBeam Beton C35/45 INSITU","Tiefbaubeton","1","False","IfcBeam","","False","False","True","False","False"
"20","IfcBeam Beton C35/45 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","","False","True","False","False","False"
"21","IfcBeam Beton C40/50","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","","False","False","False","False","False"
"22","IfcBeam Beton C40/50 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","","False","False","False","False","True"
"23","IfcBeam Beton C40/50 INSITU","Tiefbaubeton","1","False","IfcBeam","","False","False","True","False","False"
"24","IfcBeam Beton NPK D","Tiefbaubeton","1","False","IfcBeam","","True","False","False","False","False"
"25","IfcBeam Beton NPK D C20/25 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","True","False","False","True","False"
"26","IfcBeam Beton NPK D C40/50 INSITU","Tiefbaubeton","1","False","IfcBeam","","True","False","True","False","False"
"27","IfcBeam Beton NPK E","Tiefbaubeton","1","False","IfcBeam","","True","False","False","False","False"
"28","IfcBeam Beton NPK E C25/30 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","True","False","False","True","False"
"29","IfcBeam Beton NPK E C30/37 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","","True","True","False","False","False"
"30","IfcBeam Beton NPK F","Tiefbaubeton","1","False","IfcBeam","","True","False","False","False","False"
"31","IfcBeam Beton NPK F C20/25 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","","True","False","False","False","True"
"32","IfcBeam Beton NPK F C30/37 INSITU","Tiefbaubeton","1","False","IfcBeam","","True","False","True","False","False"
"33","IfcBeam Beton NPK F C35/45 INSITU","Tiefbaubeton","1","False","IfcBeam","","True","False","True","False","False"
"34","IfcBeam Beton NPK F C40/50 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","","True","False","False","False","True"
"35","IfcBeam Beton NPK G","Tiefbaubeton","1","False","IfcBeam","","True","False","False","False","False"
