"row_id","entity","target"
"1","IfcBeam","Stahlprofil blank"
"2","IfcBeam","Stahlprofil blank"
"3","IfcBeam","Stahlprofil blank"
"4","IfcBeam","Tiefbaubeton"
"4","IfcBeam","Betonfertigteil normalfest"
"4","IfcBeam","Betonfertigteil hochfest"
"5","IfcBeam","Betonfertigteil normalfest"
"5","IfcBeam","Betonfertigteil hochfest"
"6","IfcBeam","Tiefbaubeton"
"7","IfcBeam","Tiefbaubeton"
"8","IfcBeam","Betonfertigteil normalfest"
"8","IfcBeam","Betonfertigteil hochfest"
"9","IfcBeam","Tiefbaubeton"
"9","IfcBeam","Betonfertigteil normalfest"
"10","IfcBeam","Betonfertigteil normalfest"
"11","IfcBeam","Tiefbaubeton"
"12","IfcBeam","Tiefbaubeton"
"12","IfcBeam","Betonfertigteil normalfest"
"13","IfcBeam","Betonfertigteil normalfest"
"14","IfcBeam","Tiefbaubeton"
"15","IfcBeam","Tiefbaubeton"
"15","IfcBeam","Betonfertigteil normalfest"
"16","IfcBeam","Tiefbaubeton"
"17","IfcBeam","Betonfertigteil normalfest"
"18","IfcBeam","Tiefbaubeton"
"18","IfcBeam","Betonfertigteil hochfest"
"19","IfcBeam","Tiefbaubeton"
"20","IfcBeam","Betonfertigteil hochfest"
"21","IfcBeam","Tiefbaubeton"
"21","IfcBeam","Betonfertigteil hochfest"
"22","IfcBeam","Betonfertigteil hochfest"
"23","IfcBeam","Tiefbaubeton"
"24","IfcBeam","Tiefbaubeton"
"25","IfcBeam","Tiefbaubeton"
"26","IfcBeam","Tiefbaubeton"
"27","IfcBeam","Tiefbaubeton"
"28","IfcBeam","Tiefbaubeton"
"29","IfcBeam","Betonfertigteil normalfest"
"30","IfcBeam","Tiefbaubeton"
"31","IfcBeam","Betonfertigteil normalfest"
"32","IfcBeam","Tiefbaubeton"
"33","IfcBeam","Tiefbaubeton"
"34","IfcBeam","Betonfertigteil hochfest"
"35","IfcBeam","Tiefbaubeton"
"36","IfcBeam","Betonfertigteil normalfest"
"37","IfcBeam","Betonfertigteil hochfest"
"38","IfcBeam","Massivholz Buche Eiche kammergetrocknet gehobelt"
"38","IfcBeam","Massivholz Buche Eiche kammergetrocknet rau"
"38","IfcBeam","Massivholz Buche Eiche luftgetrocknet rau"
"39","IfcBeam","Massivholz Buche Eiche kammergetrocknet gehobelt"
"39","IfcBeam","Massivholz Buche Eiche kammergetrocknet rau"
"39","IfcBeam","Massivholz Buche Eiche luftgetrocknet rau"
"40","IfcBeam","Konstruktionsvollholz"
"40","IfcBeam","Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt"
"40","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt"
"40","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet rau"
"41","IfcBeam","Balkenschichtholz"
"41","IfcBeam","Brettschichtholz"
"41","IfcBeam","Brettsperrholz"
"41","IfcBeam","Konstruktionsvollholz"
"42","IfcBeam","Konstruktionsvollholz"
"42","IfcBeam","Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt"
"42","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt"
"42","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet rau"
"43","IfcBeam","Stahlprofil blank"
"44","IfcBeam","Stahlprofil blank"
"45","IfcBeam","Stahlprofil blank"
"46","IfcBeam","Stahlprofil blank"
"47","IfcBeam","Stahlprofil blank"
"48","IfcBeam","Stahlprofil blank"
"49","IfcBeam","Stahlprofil blank"
"50","IfcBeam","Stahlprofil blank"
"51","IfcBeam","Tiefbaubeton"
"51","IfcBeam","Betonfertigteil normalfest"
"51","IfcBeam","Betonfertigteil hochfest"
"52","IfcBeam","Betonfertigteil normalfest"
"52","IfcBeam","Betonfertigteil hochfest"
"53","IfcBeam","Tiefbaubeton"
"54","IfcBeam","Tiefbaubeton"
"55","IfcBeam","Betonfertigteil normalfest"
"55","IfcBeam","Betonfertigteil hochfest"
"56","IfcBeam","Tiefbaubeton"
"56","IfcBeam","Betonfertigteil normalfest"
"57","IfcBeam","Betonfertigteil normalfest"
"58","IfcBeam","Tiefbaubeton"
"59","IfcBeam","Tiefbaubeton"
"59","IfcBeam","Betonfertigteil normalfest"
"60","IfcBeam","Tiefbaubeton"
"61","IfcBeam","Betonfertigteil normalfest"
"62","IfcBeam","Tiefbaubeton"
"62","IfcBeam","Betonfertigteil normalfest"
"63","IfcBeam","Betonfertigteil normalfest"
"64","IfcBeam","Tiefbaubeton"
"65","IfcBeam","Tiefbaubeton"
"65","IfcBeam","Betonfertigteil hochfest"
