"target","count","share_percent"
"Tiefbaubeton","3031","18.22"
"Tiefgründung Vorgefertigter Betonpfahl","2091","12.57"
"Betonfertigteil normalfest","1455","8.75"
"Betonfertigteil hochfest","1089","6.55"
"Stahlprofil blank","974","5.86"
"Stahlblech blank","906","5.45"
"Tiefgründung Ortbetonbohrpfahl 700","903","5.43"
"Bohrpfahlbeton","720","4.33"
"Tiefgründung Mikrobohrpfahl","690","4.15"
"Tiefgründung Ortbetonbohrpfahl 900","452","2.72"
"Hartbeton zweischichtig","322","1.94"
"Hartbeton einschichtig","322","1.94"
"Stahlblech verzinkt","263","1.58"
"Tiefgründung Ortbetonbohrpfahl 1200","227","1.36"
"Magerbeton","182","1.09"
"Tiefgründung Ortbetonverdrängungspfahl 660/580","158","0.95"
"Tiefgründung Ortbetonverdrängungspfahl 560/480","157","0.94"
"Baugrubensicherung Schlitzwand 800","147","0.88"
"Baugrubensicherung Bohrpfahlwand verankert","147","0.88"
"Baugrubensicherung Nagelwand","147","0.88"
"Baugrubensicherung Schlitzwand 400","147","0.88"
"Baugrubensicherung Bohrpfahlwand gespriesst","147","0.88"
"Baugrubensicherung Rühlwand auskragend","147","0.88"
"Baugrubensicherung Bohrpfahlwand unverankert","147","0.88"
"Armierungsstahl","147","0.88"
"Baugrubensicherung Rühlwand gespriesst","147","0.88"
"Baugrubensicherung Rühlwand verankert","147","0.88"
"Konstruktionsvollholz","103","0.62"
"Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt","96","0.58"
"Massivholz Fichte Tanne Lärche luftgetrocknet rau","94","0.57"
"Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt","94","0.57"
"Gusseisen","91","0.55"
"Massivholz Buche Eiche kammergetrocknet gehobelt","76","0.46"
"Massivholz Buche Eiche kammergetrocknet rau","74","0.44"
"Massivholz Buche Eiche luftgetrocknet rau","74","0.44"
"Gussasphalt","40","0.24"
"Polypropylen PP","33","0.2"
"Polyethylen PE","32","0.19"
"Polyvinylchlorid PVC","30","0.18"
"Baugrubensicherung Spundwand verankert","28","0.17"
"Baugrubensicherung Spundwand gespriesst","28","0.17"
"Baugrubensicherung Spundwand auskragend","28","0.17"
"Kies gebrochen","22","0.13"
"Polyurethan PUR PIR","20","0.12"
"Rundkies","16","0.1"
"Aluminiumprofil blank","15","0.09"
"Aluminiumblech blank","13","0.08"
"Natursteinplatte geschnitten","13","0.08"
"Kalksteinplatte","12","0.07"
"Kautschukdichtungsmasse","12","0.07"
"Kalksandstein","12","0.07"
"Hartsandsteinplatte","12","0.07"
"Dichtungsbahn bituminös","12","0.07"
"Dichtungsbahn Gummi EPDM","12","0.07"
"Kunststeinplatte zementgebunden","11","0.07"
"Backstein","9","0.05"
"Betonziegel","9","0.05"
"Balkenschichtholz","8","0.05"
"Brettschichtholz","8","0.05"
"Brettsperrholz","8","0.05"
"Sand","8","0.05"
"2K-Fliessbelag Epoxidharz","8","0.05"
"Natursteinplatte geschliffen","8","0.05"
"Polyamid PA glasfaserverstärkt","7","0.04"
"Polycarbonat PC","6","0.04"
"Acrylnitril-Butadien-Styrol ABS","3","0.02"
"Tiefgründung Rüttelstopfsäule","3","0.02"
"Polystyrol expandiert EPS","3","0.02"
"Kupferblech blank","3","0.02"
"Messing-/Baubronzeblech","2","0.01"
"Chromstahlblech verzinnt","2","0.01"
"Chromstahlblech blank","2","0.01"
"Chromnickelstahlblech verzinnt","2","0.01"
"Dichtungsbahn Polyolefin FPO","2","0.01"
"Natursteinplatte poliert","2","0.01"
"Chromnickelstahlblech blank","2","0.01"
"Polyethylenvlies PE","2","0.01"
"Blei","2","0.01"
"Baukleber Einbettmörtel mineralisch","2","0.01"
"Polyethylenfolie PE","2","0.01"
"3- und 5-Schicht Massivholzplatte","1","0.01"
"Plexiglas PMMA Acrylglas","1","0.01"
"Polystyrol extrudiert XPS","1","0.01"
"Furniersperrholz","1","0.01"
"Polysulfiddichtungsmasse","1","0.01"
"Holzwolle-Leichtbauplatte zementgebunden","1","0.01"
"Silicon-Fugenmasse","1","0.01"
