"entity","count","share_percent"
"IfcPile","3983","34.99"
"IfcWall","2013","17.68"
"IfcBeam","745","6.54"
"IfcSlab","676","5.94"
"IfcMember","607","5.33"
"IfcFooting","458","4.02"
"IfcCourse","396","3.48"
"IfcColumn","369","3.24"
"IfcTrackElement","302","2.65"
"IfcCaissonFoundation","235","2.06"
"IfcRailing","227","1.99"
"IfcRail","219","1.92"
"IfcDiscreteAccessory","167","1.47"
"IfcPavement","157","1.38"
"IfcPlate","111","0.98"
"IfcBearing","99","0.87"
"IfcBuildingElementProxy","97","0.85"
"IfcBuiltElement","97","0.85"
"IfcPipeFitting","96","0.84"
"IfcKerb","69","0.61"
"IfcTendon","65","0.57"
"IfcTendonConduit","64","0.56"
"IfcTendonAnchor","44","0.39"
"IfcReinforcingBar","40","0.35"
"IfcCovering","37","0.33"
"IfcPipeSegment","6","0.05"
"IfcReinforcingMesh","4","0.04"
